username,event_name,event_date,event_id,pick_player_name,dg_id,method,matched_to_odds_name,score
GlizzyAtTheTurn,The American Express,2026-01-22,2.0,Patrick Cantlay,15466.0,direct_ff,Patrick Cantlay,1.0
GopherHockey19,Sony Open in Hawaii,2026-01-15,6.0,J.J. Spaun,17536.0,direct_ff,J.J. Spaun,1.0
GopherHockey19,The American Express,2026-01-22,2.0,Ben Griffin,24968.0,direct_ff,Ben Griffin,1.0
JLUDEOBV,Sony Open in Hawaii,2026-01-15,6.0,Harry Hall,27194.0,direct_ff,Harry Hall,1.0
JLUDEOBV,The American Express,2026-01-22,2.0,Si Woo Kim,14609.0,direct_ff,Si Woo Kim,1.0
Jackson1441,Sony Open in Hawaii,2026-01-15,6.0,Corey Conners,17576.0,direct_ff,Corey Conners,1.0
Jackson1441,The American Express,2026-01-22,2.0,Sepp Straka,17511.0,direct_ff,Sepp Straka,1.0
Jwhit25,Sony Open in Hawaii,2026-01-15,6.0,Denny McCarthy,19870.0,direct_ff,Denny McCarthy,1.0
Jwhit25,The American Express,2026-01-22,2.0,Ben Griffin,24968.0,direct_ff,Ben Griffin,1.0
Kbhoff,Sony Open in Hawaii,2026-01-15,6.0,Russell Henley,14578.0,direct_ff,Russell Henley,1.0
Kbhoff,The American Express,2026-01-22,2.0,Si Woo Kim,14609.0,direct_ff,Si Woo Kim,1.0
Kriegs,Sony Open in Hawaii,2026-01-15,6.0,Nick Taylor,13126.0,direct_ff,Nick Taylor,1.0
Kriegs,The American Express,2026-01-22,2.0,J.T. Poston,21554.0,direct_ff,J.T. Poston,1.0
MWalker9,Sony Open in Hawaii,2026-01-15,6.0,Hideki Matsuyama,13562.0,direct_ff,Hideki Matsuyama,1.0
MWalker9,The American Express,2026-01-22,2.0,Daniel Berger,17606.0,direct_ff,Daniel Berger,1.0
Mbrowder,Sony Open in Hawaii,2026-01-15,6.0,Chris Kirk,12423.0,direct_ff,Chris Kirk,1.0
Mbrowder,The American Express,2026-01-22,2.0,Si Woo Kim,14609.0,direct_ff,Si Woo Kim,1.0
Nikopmelis,Sony Open in Hawaii,2026-01-15,6.0,Russell Henley,14578.0,direct_ff,Russell Henley,1.0
Nikopmelis,The American Express,2026-01-22,2.0,Harry Hall,27194.0,direct_ff,Harry Hall,1.0
Ottomatic,Sony Open in Hawaii,2026-01-15,6.0,Ben Griffin,24968.0,direct_ff,Ben Griffin,1.0
Ottomatic,The American Express,2026-01-22,2.0,Christiaan Bezuidenhout,18103.0,direct_ff,Christiaan Bezuidenhout,1.0
Pjh5165,Sony Open in Hawaii,2026-01-15,6.0,Si Woo Kim,14609.0,direct_ff,Si Woo Kim,1.0
Pjh5165,The American Express,2026-01-22,2.0,Sam Burns,19483.0,direct_ff,Sam Burns,1.0
Ponta01,Sony Open in Hawaii,2026-01-15,6.0,Si Woo Kim,14609.0,direct_ff,Si Woo Kim,1.0
Ponta01,The American Express,2026-01-22,2.0,Matt Fitzpatrick,17646.0,direct_ff,Matt Fitzpatrick,1.0
Rjsut727,Sony Open in Hawaii,2026-01-15,6.0,Hideki Matsuyama,13562.0,direct_ff,Hideki Matsuyama,1.0
Rjsut727,The American Express,2026-01-22,2.0,Russell Henley,14578.0,direct_ff,Russell Henley,1.0
Rye1987,Sony Open in Hawaii,2026-01-15,6.0,Chris Kirk,12423.0,direct_ff,Chris Kirk,1.0
Rye1987,The American Express,2026-01-22,2.0,Daniel Berger,17606.0,direct_ff,Daniel Berger,1.0
SJUPRIDE10,Sony Open in Hawaii,2026-01-15,6.0,Russell Henley,14578.0,direct_ff,Russell Henley,1.0
