username,entry_id,event_date,event_name,player_name,season,league_id,event_key,dg_id,raw_winnings,event_id
Tiger4040,wrhm9kd,2026-01-22,The American Express,Daniel Berger,2026,2026_small,The American Express_2026-01-22,17606,20884,2.0
Walshy0104,m3h80k9,2026-01-15,Sony Open in Hawaii,Russell Henley,2026,2026_small,Sony Open in Hawaii_2026-01-15,14578,111839,6.0
Walshy0104,m3h80k9,2026-01-22,The American Express,Harry Hall,2026,2026_small,The American Express_2026-01-22,27194,81420,2.0
Zsather,nehqkoz,2026-01-15,Sony Open in Hawaii,Russell Henley,2026,2026_small,Sony Open in Hawaii_2026-01-15,14578,111839,6.0
Zsather,nehqkoz,2026-01-22,The American Express,Ryan Gerard,2026,2026_small,The American Express_2026-01-22,29767,616400,2.0
andylicious,78ho83z,2026-01-15,Sony Open in Hawaii,Robert MacIntyre,2026,2026_small,Sony Open in Hawaii_2026-01-15,23323,409500,6.0
andylicious,78ho83z,2026-01-22,The American Express,Daniel Berger,2026,2026_small,The American Express_2026-01-22,17606,20884,2.0
balvari,0dh4357,2026-01-15,Sony Open in Hawaii,Corey Conners,2026,2026_small,Sony Open in Hawaii_2026-01-15,17576,72475,6.0
balvari,0dh4357,2026-01-22,The American Express,Si Woo Kim,2026,2026_small,The American Express_2026-01-22,14609,322000,2.0
bpark88,36hm5ov,2026-01-15,Sony Open in Hawaii,Ben Griffin,2026,2026_small,Sony Open in Hawaii_2026-01-15,24968,111839,6.0
bpark88,36hm5ov,2026-01-22,The American Express,Harry Hall,2026,2026_small,The American Express_2026-01-22,27194,81420,2.0
halliam1114,p8hdz40,2026-01-15,Sony Open in Hawaii,Si Woo Kim,2026,2026_small,Sony Open in Hawaii_2026-01-15,14609,220675,6.0
halliam1114,p8hdz40,2026-01-22,The American Express,Kurt Kitayama,2026,2026_small,The American Express_2026-01-22,21891,0,2.0
jonescurtisw,dnhzxey,2026-01-15,Sony Open in Hawaii,Hideki Matsuyama,2026,2026_small,Sony Open in Hawaii_2026-01-15,13562,163042,6.0
jonescurtisw,dnhzxey,2026-01-22,The American Express,Patrick Cantlay,2026,2026_small,The American Express_2026-01-22,15466,169740,2.0
jtsalvetti,vnh36vq,2026-01-15,Sony Open in Hawaii,Russell Henley,2026,2026_small,Sony Open in Hawaii_2026-01-15,14578,111839,6.0
jtsalvetti,vnh36vq,2026-01-22,The American Express,Patrick Cantlay,2026,2026_small,The American Express_2026-01-22,15466,169740,2.0
kotsko,36hmm9z,2026-01-15,Sony Open in Hawaii,Keegan Bradley,2026,2026_small,Sony Open in Hawaii_2026-01-15,13872,0,6.0
kotsko,36hmm9z,2026-01-22,The American Express,Russell Henley,2026,2026_small,The American Express_2026-01-22,14578,250700,2.0
linkcalhoun,p8hd469,2026-01-15,Sony Open in Hawaii,Russell Henley,2026,2026_small,Sony Open in Hawaii_2026-01-15,14578,111839,6.0
linkcalhoun,p8hd469,2026-01-22,The American Express,Ben Griffin,2026,2026_small,The American Express_2026-01-22,24968,81420,2.0
newcastle21,8vh9ek9,2026-01-15,Sony Open in Hawaii,Chris Kirk,2026,2026_small,Sony Open in Hawaii_2026-01-15,12423,0,6.0
newcastle21,8vh9ek9,2026-01-22,The American Express,Si Woo Kim,2026,2026_small,The American Express_2026-01-22,14609,322000,2.0
one007,x0h7nzj,2026-01-15,Sony Open in Hawaii,Jake Knapp,2026,2026_small,Sony Open in Hawaii_2026-01-15,19396,220675,6.0
one007,x0h7nzj,2026-01-22,The American Express,Max Greyserman,2026,2026_small,The American Express_2026-01-22,23465,20884,2.0
pbyrne11,wrhmp93,2026-01-15,Sony Open in Hawaii,Aaron Rai,2026,2026_small,Sony Open in Hawaii_2026-01-15,18554,22404,6.0
pbyrne11,wrhmp93,2026-01-22,The American Express,Harry Hall,2026,2026_small,The American Express_2026-01-22,27194,81420,2.0
picksixer360,m3h8mey,2026-01-15,Sony Open in Hawaii,J.J. Spaun,2026,2026_small,Sony Open in Hawaii_2026-01-15,17536,31522,6.0
picksixer360,m3h8mey,2026-01-22,The American Express,Daniel Berger,2026,2026_small,The American Express_2026-01-22,17606,20884,2.0
talktob,vnh4gw5,2026-01-15,Sony Open in Hawaii,Maverick McNealy,2026,2026_small,Sony Open in Hawaii_2026-01-15,18634,72475,6.0
talktob,vnh4gw5,2026-01-22,The American Express,Russell Henley,2026,2026_small,The American Express_2026-01-22,14578,250700,2.0
tice0101,x0h73j9,2026-01-15,Sony Open in Hawaii,J.J. Spaun,2026,2026_small,Sony Open in Hawaii_2026-01-15,17536,31522,6.0
tice0101,x0h73j9,2026-01-22,The American Express,Ben Griffin,2026,2026_small,The American Express_2026-01-22,24968,81420,2.0
