year,event_id,event_start_date,event_name,dg_id,player_name,p_win_raw,p_win_share,close_odds,p_odds_share,sg_total_L40,sg_total_L24,sg_total_L12,days_since_last_round,finish_num,pred_rank
2026,4,2026-01-29,Farmers Insurance Open,22736,"Rosenmueller, Thomas",0.009780729669969495,0.006648848600262264,276.0,0.0025987616883099553,0.49822500000000003,0.464875,0.6445,45,,44
2026,4,2026-01-29,Farmers Insurance Open,32457,"Keefer, Johnny",0.009775853833071259,0.006645534051917729,111.0,0.00646178581958151,0.47816666666666663,0.15112499999999998,0.9132500000000001,3,,45
2026,4,2026-01-29,Farmers Insurance Open,25908,"Whaley, Vince",0.009726570666858059,0.006612031816220609,106.0,0.006766587037486298,0.57985,0.8946250000000001,0.40116666666666667,4,,46
2026,4,2026-01-29,Farmers Insurance Open,13764,"Parry, John",0.009726408791546865,0.0066119217748972555,161.0,0.00445502003710278,0.856325,0.7636250000000001,0.3871666666666668,3,,47
2026,4,2026-01-29,Farmers Insurance Open,19729,"Kanaya, Takumi",0.009590031825964213,0.006519213988533801,211.0,0.0033993280851826904,0.87945,0.7147916666666666,0.38566666666666666,4,,48
2026,4,2026-01-29,Farmers Insurance Open,23602,"Hojgaard, Nicolai",0.009533049029073332,0.006480477615877451,58.0,0.012366521137474959,0.8190750000000001,0.5388333333333336,0.4878333333333329,3,,49
2026,4,2026-01-29,Farmers Insurance Open,16243,"Koepka, Brooks",0.00944560755773168,0.0064210357210544204,576.0,0.00124523997564852,-0.1641,-0.3010833333333331,1.3141666666666671,115,,50
2026,4,2026-01-29,Farmers Insurance Open,20954,"Hirata, Kensei",0.009380531435516771,0.006376797581498474,1051.0,0.00068245311700623,0.2580909090909091,0.4542083333333333,0.8019999999999999,4,,51
2026,4,2026-01-29,Farmers Insurance Open,23841,"Neergaard-Petersen, Rasmus",0.009317348785522518,0.006333846606658122,71.0,0.010102228534838699,0.9933250000000001,0.6492916666666666,0.3221666666666665,3,,52
2026,4,2026-01-29,Farmers Insurance Open,21756,"Cole, Eric",0.009262505071352971,0.0062965643624397815,136.0,0.0052739575439231445,0.35252499999999987,0.9021666666666667,0.43358333333333365,3,,53
2026,4,2026-01-29,Farmers Insurance Open,9171,"Villegas, Camilo",0.009052297820514359,0.0061536674383182045,1101.0,0.0006514606957071277,-0.37597500000000006,-0.3113333333333333,1.4774166666666666,4,,54
2026,4,2026-01-29,Farmers Insurance Open,19396,"Knapp, Jake",0.008960795270769683,0.006091464860359395,39.0,0.0183912365634243,1.0308,1.0827916666666668,-0.06433333333333324,10,,55
2026,4,2026-01-29,Farmers Insurance Open,19870,"McCarthy, Denny",0.008789976443888299,0.005975343818644491,97.0,0.0073944147007582225,0.5690999999999999,0.5800000000000001,0.46124999999999944,3,,56
2026,4,2026-01-29,Farmers Insurance Open,23604,"Clark, Wyndham",0.008537077817258033,0.005803425696334896,46.0,0.01559257012985973,0.69475,0.20908333333333332,0.5787500000000002,3,,57
2026,4,2026-01-29,Farmers Insurance Open,20706,"Wallace, Matt",0.008481942378539406,0.005765945140495106,121.0,0.005927753933665683,0.600575,0.4262916666666665,0.4890000000000003,4,,58
2026,4,2026-01-29,Farmers Insurance Open,13997,"Svensson, Adam",0.008481678428281372,0.005765765709577077,491.0,0.0014608110508626223,0.07297500000000001,0.3140833333333331,0.8031666666666664,4,,59
2026,4,2026-01-29,Farmers Insurance Open,6169,"Kuchar, Matt",0.008223397506486896,0.005590188753328065,241.0,0.0029761752115084962,0.76155,0.9392083333333335,0.09075000000000018,3,,60
2026,4,2026-01-29,Farmers Insurance Open,13872,"Bradley, Keegan",0.008094444150882653,0.005502527467632694,39.0,0.0183912365634243,0.7909250000000001,0.17362499999999992,0.4389999999999999,12,,61
2026,4,2026-01-29,Farmers Insurance Open,18424,"Roy, Kevin",0.007988100966222614,0.005430236364787343,231.0,0.003105013965253453,0.317,0.1967083333333334,0.6744166666666667,4,,62
2026,4,2026-01-29,Farmers Insurance Open,31343,"Ford, David",0.007824478502045496,0.005319007343167847,181.0,0.003962752629688108,-0.08840000000000006,0.78625,0.45166666666666666,3,,63
2026,4,2026-01-29,Farmers Insurance Open,6093,"Rose, Justin",0.007576501963131591,0.0051504352100766,55.0,0.013041058654064502,0.7533999999999998,0.2440833333333329,0.3613333333333335,4,,64
2026,4,2026-01-29,Farmers Insurance Open,17365,"Mitchell, Keith",0.00756728259677618,0.005144167971010001,81.0,0.008855039826833921,0.048999999999999974,0.32412499999999983,0.6130000000000002,3,,65
2026,4,2026-01-29,Farmers Insurance Open,21074,"Nakajima, Keita",0.0075396944615477015,0.0051254138145730935,311.0,0.0023062965465387385,0.67275,0.8478750000000002,0.057833333333333105,4,,66
2026,4,2026-01-29,Farmers Insurance Open,24550,"Ghim, Doug",0.007524505342036024,0.005115088393115581,126.0,0.005692525602964664,0.44480000000000003,0.64825,0.24858333333333313,4,,67
2026,4,2026-01-29,Farmers Insurance Open,18474,"Smalley, Alex",0.007109667127440441,0.004833085252703896,93.0,0.0077124540427263195,0.20157499999999998,0.5477499999999998,0.3299166666666666,3,,68
2026,4,2026-01-29,Farmers Insurance Open,18586,"Smith, Jordan",0.006934665390884387,0.004714120708093615,111.0,0.00646178581958151,0.608675,0.27012499999999995,0.3038333333333337,3,,69
2026,4,2026-01-29,Farmers Insurance Open,31960,"Hastings, Justin",0.0067654880871666516,0.004599115558480547,576.0,0.00124523997564852,0.34487500000000004,0.34487500000000004,0.2598333333333334,73,,70
2026,4,2026-01-29,Farmers Insurance Open,20766,"Brown, Dan",0.006722691965811274,0.004570023155237463,186.0,0.0038562270213631598,1.0373249999999998,0.6925833333333333,-0.16800000000000007,4,,71
2026,4,2026-01-29,Farmers Insurance Open,16715,"Ryder, Sam",0.0066603202533360925,0.004527623448142003,281.0,0.0025525203771300624,0.06830000000000011,0.07416666666666684,0.606833333333333,3,,72
2026,4,2026-01-29,Farmers Insurance Open,29197,"Brennan, Michael",0.006584891364498327,0.004476347594612573,106.0,0.006766587037486298,0.39276923076923076,0.5305416666666666,0.15816666666666668,3,,73
2026,4,2026-01-29,Farmers Insurance Open,16162,"Lee, S.T.",0.006478629565771479,0.004404111817163817,576.0,0.00124523997564852,0.3012307692307692,0.3012307692307692,0.34299999999999997,4,,74
2026,4,2026-01-29,Farmers Insurance Open,17881,"Yu, Kevin",0.006287861592157775,0.004274429531983114,83.0,0.008641665373175273,0.511725,0.4028750000000001,0.10925000000000003,4,,75
2026,4,2026-01-29,Farmers Insurance Open,27164,"Phillips, Chandler",0.0061603558904766145,0.004187752347892116,276.0,0.0025987616883099553,0.46542500000000003,0.3295416666666668,0.1798333333333332,3,,76
2026,4,2026-01-29,Farmers Insurance Open,22002,"Dumont de Chassart, Adrien",0.006103135563279934,0.004148854504354295,141.0,0.00508693777286204,0.8777999999999999,0.38175000000000003,-0.0474999999999998,3,,77
2026,4,2026-01-29,Farmers Insurance Open,16591,"Rozo, Marcelo",0.005902945759518302,0.004012767347113453,4001.0,0.00017926973905862227,0.24807692307692308,0.24807692307692308,0.3104166666666667,4,,78
2026,4,2026-01-29,Farmers Insurance Open,8820,"Snedeker, Brandt",0.005687512070690572,0.003866317539303147,426.0,0.0016837047558064498,0.2359,0.6384166666666669,-0.026666666666666616,4,,79
2026,4,2026-01-29,Farmers Insurance Open,27774,"Gotterup, Chris",0.005534303790761794,0.0037621679827848117,27.0,0.02656511948050176,0.9567250000000002,-0.19925000000000015,0.06250000000000004,10,,80
2026,4,2026-01-29,Farmers Insurance Open,26657,"Fisk, Steven",0.005438447660922179,0.003697005881774339,211.0,0.0033993280851826904,0.31882499999999997,0.6245416666666667,-0.13074999999999992,4,,81
2026,4,2026-01-29,Farmers Insurance Open,14509,"Dahmen, Joel",0.005361610185573997,0.0036447724843024676,381.0,0.0018825675222402824,-0.009724999999999994,-0.05024999999999993,0.41650000000000015,3,,82
2026,4,2026-01-29,Farmers Insurance Open,26653,"Eckroat, Austin",0.005250653336775011,0.003569345055703579,201.0,0.0035684488854405352,0.18485000000000001,-0.03966666666666666,0.27899999999999997,4,,83
2026,4,2026-01-29,Farmers Insurance Open,16757,"Dou, Zecheng",0.005229912729239588,0.003555245784582336,276.0,0.0025987616883099553,-0.28500000000000003,-0.5675833333333334,0.8018333333333335,3,,84
2026,4,2026-01-29,Farmers Insurance Open,29770,"Mouw, William",0.005171760286105396,0.0035157142973435314,191.0,0.0037552786700185744,0.7657999999999999,0.06408333333333331,-0.04200000000000007,4,,85
2026,4,2026-01-29,Farmers Insurance Open,19428,"Zalatoris, Will",0.005070061100777595,0.0034465801418325477,49.0,0.014637922979051992,0.20990000000000003,-0.09012500000000001,0.22633333333333328,3,,86
2026,4,2026-01-29,Farmers Insurance Open,15575,"Hoge, Tom",0.005048692429782298,0.0034320539190423626,231.0,0.003105013965253453,-0.9596499999999999,0.1129166666666667,0.6053333333333335,3,,87
2026,4,2026-01-29,Farmers Insurance Open,11451,"Garnett, Brice",0.005045345117799046,0.00342977844764652,576.0,0.00124523997564852,-0.04124999999999995,-0.10062500000000013,0.3758333333333333,4,,88
2026,4,2026-01-29,Farmers Insurance Open,12808,"Grillo, Emiliano",0.004356604860202248,0.002961579258814321,186.0,0.0038562270213631598,0.39732499999999993,0.13354166666666664,-0.17674999999999988,4,,89
2026,4,2026-01-29,Farmers Insurance Open,15980,"Lipsky, David",0.004266571612439088,0.002900375498607643,576.0,0.00124523997564852,0.3765249999999999,0.01204166666666675,-0.08924999999999998,3,,90
2026,4,2026-01-29,Farmers Insurance Open,20722,"Schmid, Matti",0.004176898061739458,0.0028394162571023372,156.0,0.004597809140856075,0.06209999999999991,0.1664583333333333,-0.12433333333333385,4,,91
2026,4,2026-01-29,Farmers Insurance Open,24304,"Vilips, Karl",0.004085775425847087,0.0027774719410289237,351.0,0.0020434707292693666,-0.34479999999999994,0.32554166666666673,-0.06099999999999987,3,,92
2026,4,2026-01-29,Farmers Insurance Open,22087,"Paul, Jeremy",0.0037150681956855483,0.0025254686313030215,501.0,0.0014316531456557836,-0.17072500000000004,-0.04558333333333329,-0.12033333333333314,45,,93
2026,4,2026-01-29,Farmers Insurance Open,25094,"Fishburn, Patrick",0.0036804382817568616,0.002501927539531627,276.0,0.0025987616883099553,0.24735000000000004,-0.3606249999999999,-0.04158333333333327,4,,94
2026,4,2026-01-29,Farmers Insurance Open,19840,"Ramey, Chad",0.0036650364894318535,0.0024914575450836586,311.0,0.0023062965465387385,0.38084999999999997,0.16341666666666665,-0.4108333333333334,3,,95
2026,4,2026-01-29,Farmers Insurance Open,19872,"Riley, Davis",0.0036142851958817597,0.0024569572901468415,301.0,0.002382917694264278,-0.787675,-0.5956666666666667,0.5058333333333335,3,,96
2026,4,2026-01-29,Farmers Insurance Open,24766,"Kim, Tom",0.003586761940724439,0.0024382472385758133,211.0,0.0033993280851826904,-0.04064999999999993,-0.13999999999999999,-0.0939166666666668,3,,97
2026,4,2026-01-29,Farmers Insurance Open,21407,"Reitan, Kristoffer",0.003300200077951689,0.002243445163017468,111.0,0.00646178581958151,0.8418500000000002,0.7303333333333334,-1.1582499999999998,12,,98
2026,4,2026-01-29,Farmers Insurance Open,21944,"Moore, Taylor",0.0032722100550607587,0.002224417807104435,186.0,0.0038562270213631598,-0.10694999999999996,-0.28029166666666655,-0.11291666666666704,3,,99
2026,4,2026-01-29,Farmers Insurance Open,16394,"Jaeger, Stephan",0.003232882186068086,0.0021976830893966058,196.0,0.003659480744762998,-0.427075,-0.43779166666666663,0.08891666666666688,4,,100
2026,4,2026-01-29,Farmers Insurance Open,18554,"Rai, Aaron",0.0032295406968188274,0.002195411576240901,85.0,0.00843833207027703,0.75315,0.5363750000000002,-1.0340833333333332,10,,101
2026,4,2026-01-29,Farmers Insurance Open,25319,"VanDerLaan, John",0.003221801829594793,0.0021901507666442386,626.0,0.001145779913695763,0.1299473684210527,0.1299473684210527,-0.46183333333333315,4,,102
2026,4,2026-01-29,Farmers Insurance Open,27900,"Potgieter, Aldrich",0.0031701640162113648,0.0021550478638118283,136.0,0.0052739575439231445,-0.09792499999999997,-0.375875,-0.11799999999999977,4,,103
2026,4,2026-01-29,Farmers Insurance Open,19960,"Pavon, Matthieu",0.0030789349225038743,0.002093031178710855,321.0,0.002234449302098279,-0.5522,-0.4352500000000002,0.08916666666666644,3,,104
2026,4,2026-01-29,Farmers Insurance Open,11657,"Norlander, Henrik",0.0028530860658805275,0.0019395012371931429,701.0,0.0010231929043845187,-0.6278999999999999,-0.8460833333333335,0.19158333333333297,45,,105
2026,4,2026-01-29,Farmers Insurance Open,32055,"Shipley, Neal",0.0026627313257396963,0.0018100998642644297,261.0,0.0027481158083277686,0.274325,0.07995833333333328,-0.7768333333333333,4,,106
2026,4,2026-01-29,Farmers Insurance Open,21943,"Lebioda, Hank",0.0025621881449111256,0.0017417515498057965,526.0,0.0013636087946265164,-0.669175,-0.09933333333333337,-0.3232500000000001,4,,107
2026,4,2026-01-29,Farmers Insurance Open,26850,"Svensson, Jesper",0.0025554703892124737,0.0017371848822788302,156.0,0.004597809140856075,0.10805000000000002,-0.4056666666666666,-0.48208333333333303,4,,108
2026,4,2026-01-29,Farmers Insurance Open,15556,"Hughes, Mackenzie",0.0025217435249861356,0.001714257675253465,181.0,0.003962752629688108,-0.34840000000000004,-0.030000000000000127,-0.5421666666666665,4,,109
2026,4,2026-01-29,Farmers Insurance Open,15330,"Griffin, Lanto",0.0024223310574316825,0.0016466780091087708,751.0,0.0009550708734667745,0.1666,0.16454166666666667,-0.8933333333333335,4,,110
2026,4,2026-01-29,Farmers Insurance Open,15470,"Hossler, Beau",0.002379494452627589,0.0016175580855956845,176.0,0.004075330829395157,0.29435,-0.30575,-0.7157499999999999,4,,111
2026,4,2026-01-29,Farmers Insurance Open,22760,"Hisatsune, Ryo",0.0023012579082341412,0.001564373614065213,311.0,0.0023062965465387385,-0.5903499999999998,-0.7089166666666665,-0.13674999999999973,3,,112
2026,4,2026-01-29,Farmers Insurance Open,23475,"Novak, Andrew",0.0022890308970744903,0.0015560618061758848,111.0,0.00646178581958151,-0.24852500000000002,-0.8212916666666668,-0.24575000000000022,4,,113
2026,4,2026-01-29,Farmers Insurance Open,11276,"Horschel, Billy",0.002285046537535904,0.0015533532758069894,151.0,0.004750054476646011,0.06607500000000006,-0.2280416666666667,-0.7228333333333333,3,,114
2026,4,2026-01-29,Farmers Insurance Open,19846,"Bauchou, Zach",0.0022699465509594947,0.0015430884460856653,1001.0,0.0007165416842892584,-0.22400000000000003,-0.22400000000000003,-0.5739166666666667,3,,115
2026,4,2026-01-29,Farmers Insurance Open,14792,"Saddier, Adrien",0.0021712931718246677,0.0014760248011527425,281.0,0.0025525203771300624,0.501175,-0.6404166666666665,-0.704166666666666,3,,116
2026,4,2026-01-29,Farmers Insurance Open,31866,"Logan, Hunter",0.0021197309184870627,0.0014409732633331545,5001.0,0.000143422960602589,-0.47725,-0.47725,-0.47725,61,,117
2026,4,2026-01-29,Farmers Insurance Open,29279,"Suber, Jackson",0.002057691983107786,0.0013987997749967214,391.0,0.0018344200152776156,0.17475000000000004,-0.05079166666666657,-1.0084166666666667,4,,118
2026,4,2026-01-29,Farmers Insurance Open,16333,"Hubbard, Mark",0.0019953364007023813,0.0013564110329719141,331.0,0.002166943280886851,0.15307500000000007,-0.6095416666666665,-0.7050000000000001,4,,119
2026,4,2026-01-29,Farmers Insurance Open,12577,"Woodland, Gary",0.0019462272662599625,0.0013230271024457384,171.0,0.0041944925495529094,0.10242500000000003,-0.050041666666666616,-1.0682499999999997,3,,120
2026,4,2026-01-29,Farmers Insurance Open,26096,"Bhatia, Akshay",0.0019249115895088559,0.001308536904647369,83.0,0.008641665373175273,0.25452499999999995,-0.32708333333333334,-1.00075,4,,121
2026,4,2026-01-29,Farmers Insurance Open,30620,"Chatfield, Davis",0.0018070290737138392,0.0012284014723650928,1101.0,0.0006514606957071277,-0.5549000000000001,-0.5549000000000001,-0.5549000000000001,3,,122
