username,entryId,eventName,eventDate,selection,winnings
Dreamweaver816,78hz953,WM Phoenix Open,2026-02-05,Maverick McNealy,188000.00
Enicola0922,m3h6yyp,WM Phoenix Open,2026-02-05,Cameron Young,34080.00
FlyingArmbar,p8hnkv6,WM Phoenix Open,2026-02-05,Maverick McNealy,188000.00
GH23,erhw7xv,WM Phoenix Open,2026-02-05,Jake Knapp,300000.00
GlizzyAtTheTurn,0dhkr87,WM Phoenix Open,2026-02-05,Sam Burns,0.00
GopherHockey19,m3h87mr,WM Phoenix Open,2026-02-05,Si Woo Kim,439680.00
halliam1114,p8hdz40,WM Phoenix Open,2026-02-05,Brooks Koepka,0.00
Jackson1441,43h9m9d,WM Phoenix Open,2026-02-05,Harry Hall,0.00
JLUDEOBV,43h9376,WM Phoenix Open,2026-02-05,Maverick McNealy,188000.00
jonescurtisw,dnhzxey,WM Phoenix Open,2026-02-05,Maverick McNealy,188000.00
jtsalvetti,vnh36vq,WM Phoenix Open,2026-02-05,Si Woo Kim,439680.00
Jwhit25,53he4g4,WM Phoenix Open,2026-02-05,Sahith Theegala,122720.00
Kbhoff,36hmp75,WM Phoenix Open,2026-02-05,Hideki Matsuyama,1046400.00
kotsko,36hmm9z,WM Phoenix Open,2026-02-05,Maverick McNealy,188000.00
Kriegs,m3h6nm8,WM Phoenix Open,2026-02-05,Si Woo Kim,439680.00
linkcalhoun,p8hd469,WM Phoenix Open,2026-02-05,Maverick McNealy,188000.00
Mbrowder,nehqwrq,WM Phoenix Open,2026-02-05,Sam Burns,0.00
MWalker9,53h0vzo,WM Phoenix Open,2026-02-05,Brooks Koepka,0.00
newcastle21,8vh9ek9,WM Phoenix Open,2026-02-05,Rickie Fowler,122720.00
Nikopmelis,36hmn6j,WM Phoenix Open,2026-02-05,Jordan Spieth,0.00
one007,x0h7nzj,WM Phoenix Open,2026-02-05,Cameron Young,34080.00
Ottomatic,r8h6myq,WM Phoenix Open,2026-02-05,Maverick McNealy,188000.00
pbyrne11,wrhmp93,WM Phoenix Open,2026-02-05,Pierceson Coody,242400.00
picksixer360,m3h8mey,WM Phoenix Open,2026-02-05,Maverick McNealy,188000.00
Pjh5165,36hm6vj,WM Phoenix Open,2026-02-05,Maverick McNealy,188000.00
Ponta01,x0h7wo6,WM Phoenix Open,2026-02-05,Hideki Matsuyama,1046400.00
Rjsut727,erh7z6m,WM Phoenix Open,2026-02-05,Cameron Young,34080.00
Rye1987,36hm5jq,WM Phoenix Open,2026-02-05,Si Woo Kim,439680.00
SJUPRIDE10,64hmvvv,WM Phoenix Open,2026-02-05,Si Woo Kim,439680.00
Skibasher,m3h6p00,WM Phoenix Open,2026-02-05,Cameron Young,34080.00
Sullivanchris01,53hepg6,WM Phoenix Open,2026-02-05,Sahith Theegala,122720.00
talktob,vnh4gw5,WM Phoenix Open,2026-02-05,Si Woo Kim,439680.00
Tbargie,dnhzpdq,WM Phoenix Open,2026-02-05,Jordan Spieth,0.00
ThePME,36hogo7,WM Phoenix Open,2026-02-05,Rickie Fowler,122720.00
tice0101,x0h73j9,WM Phoenix Open,2026-02-05,Maverick McNealy,188000.00
Tiger4040,wrhm9kd,WM Phoenix Open,2026-02-05,Hideki Matsuyama,1046400.00
Walshy0104,m3h80k9,WM Phoenix Open,2026-02-05,Jordan Spieth,0.00
Zsather,nehqkoz,WM Phoenix Open,2026-02-05,Si Woo Kim,439680.00
ADmun,m3h8gxx,AT&T Pebble Beach Pro-Am,2026-02-12,Justin Rose,78375.00
AKsREVENGE,oohwwvx,AT&T Pebble Beach Pro-Am,2026-02-12,Hideki Matsuyama,515000.00
andylicious,78ho83z,AT&T Pebble Beach Pro-Am,2026-02-12,Jason Day,162000.00
balvari,0dh4357,AT&T Pebble Beach Pro-Am,2026-02-12,Russell Henley,235000.00
Bdavis7916,k6hyezx,AT&T Pebble Beach Pro-Am,2026-02-12,Justin Rose,78375.00
BigBoKnows,53h0gr5,AT&T Pebble Beach Pro-Am,2026-02-12,Viktor Hovland,39750.00
BigCat97,8vh9q4n,AT&T Pebble Beach Pro-Am,2026-02-12,Si Woo Kim,57000.00
bpark88,36hm5ov,AT&T Pebble Beach Pro-Am,2026-02-12,Tommy Fleetwood,877500.00
Cdimming,8vh9jk5,AT&T Pebble Beach Pro-Am,2026-02-12,Justin Rose,78375.00
Cjlemoin,gkh3m67,AT&T Pebble Beach Pro-Am,2026-02-12,Russell Henley,235000.00
DKWoods,wrhv6kg,AT&T Pebble Beach Pro-Am,2026-02-12,Justin Rose,78375.00
Dreamweaver816,78hz953,AT&T Pebble Beach Pro-Am,2026-02-12,Sepp Straka,1760000.00
Enicola0922,m3h6yyp,AT&T Pebble Beach Pro-Am,2026-02-12,Scottie Scheffler,877500.00
FlyingArmbar,p8hnkv6,AT&T Pebble Beach Pro-Am,2026-02-12,Russell Henley,235000.00
GH23,erhw7xv,AT&T Pebble Beach Pro-Am,2026-02-12,Matt Fitzpatrick,342750.00
GlizzyAtTheTurn,0dhkr87,AT&T Pebble Beach Pro-Am,2026-02-12,Viktor Hovland,39750.00
GopherHockey19,m3h87mr,AT&T Pebble Beach Pro-Am,2026-02-12,Viktor Hovland,39750.00
halliam1114,p8hdz40,AT&T Pebble Beach Pro-Am,2026-02-12,Patrick Cantlay,342750.00
Jackson1441,43h9m9d,AT&T Pebble Beach Pro-Am,2026-02-12,Russell Henley,235000.00
JLUDEOBV,43h9376,AT&T Pebble Beach Pro-Am,2026-02-12,Jason Day,162000.00
jonescurtisw,dnhzxey,AT&T Pebble Beach Pro-Am,2026-02-12,Justin Rose,78375.00
jtsalvetti,vnh36vq,AT&T Pebble Beach Pro-Am,2026-02-12,Jason Day,162000.00
Jwhit25,53he4g4,AT&T Pebble Beach Pro-Am,2026-02-12,Cameron Young,42000.00
Kbhoff,36hmp75,AT&T Pebble Beach Pro-Am,2026-02-12,Collin Morikawa,3600000.00
kotsko,36hmm9z,AT&T Pebble Beach Pro-Am,2026-02-12,Daniel Berger,33125.00
Kriegs,m3h6nm8,AT&T Pebble Beach Pro-Am,2026-02-12,Justin Rose,78375.00
linkcalhoun,p8hd469,AT&T Pebble Beach Pro-Am,2026-02-12,Chris Gotterup,78375.00
Mbrowder,nehqwrq,AT&T Pebble Beach Pro-Am,2026-02-12,Viktor Hovland,39750.00
MWalker9,53h0vzo,AT&T Pebble Beach Pro-Am,2026-02-12,Justin Rose,78375.00
newcastle21,8vh9ek9,AT&T Pebble Beach Pro-Am,2026-02-12,Russell Henley,235000.00
Nikopmelis,36hmn6j,AT&T Pebble Beach Pro-Am,2026-02-12,Matt Fitzpatrick,342750.00
one007,x0h7nzj,AT&T Pebble Beach Pro-Am,2026-02-12,Justin Rose,78375.00
Ottomatic,r8h6myq,AT&T Pebble Beach Pro-Am,2026-02-12,Russell Henley,235000.00
pbyrne11,wrhmp93,AT&T Pebble Beach Pro-Am,2026-02-12,Russell Henley,235000.00
picksixer360,m3h8mey,AT&T Pebble Beach Pro-Am,2026-02-12,Shane Lowry,515000.00
Pjh5165,36hm6vj,AT&T Pebble Beach Pro-Am,2026-02-12,Viktor Hovland,39750.00
Ponta01,x0h7wo6,AT&T Pebble Beach Pro-Am,2026-02-12,Viktor Hovland,39750.00
Rjsut727,erh7z6m,AT&T Pebble Beach Pro-Am,2026-02-12,Viktor Hovland,39750.00
Rye1987,36hm5jq,AT&T Pebble Beach Pro-Am,2026-02-12,Justin Rose,78375.00
SJUPRIDE10,64hmvvv,AT&T Pebble Beach Pro-Am,2026-02-12,Justin Rose,78375.00
Skibasher,m3h6p00,AT&T Pebble Beach Pro-Am,2026-02-12,Si Woo Kim,57000.00
Sullivanchris01,53hepg6,AT&T Pebble Beach Pro-Am,2026-02-12,Scottie Scheffler,877500.00
talktob,vnh4gw5,AT&T Pebble Beach Pro-Am,2026-02-12,Scottie Scheffler,877500.00
Tbargie,dnhzpdq,AT&T Pebble Beach Pro-Am,2026-02-12,Sepp Straka,1760000.00
ThePME,36hogo7,AT&T Pebble Beach Pro-Am,2026-02-12,Tommy Fleetwood,877500.00
tice0101,x0h73j9,AT&T Pebble Beach Pro-Am,2026-02-12,Matt Fitzpatrick,342750.00
Tiger4040,wrhm9kd,AT&T Pebble Beach Pro-Am,2026-02-12,Russell Henley,235000.00
Walshy0104,m3h80k9,AT&T Pebble Beach Pro-Am,2026-02-12,Matt Fitzpatrick,342750.00
Zsather,nehqkoz,AT&T Pebble Beach Pro-Am,2026-02-12,Viktor Hovland,39750.00
ADmun,m3h8gxx,The Genesis Invitational,2026-02-19,Hideki Matsuyama,136500.00
AKsREVENGE,oohwwvx,The Genesis Invitational,2026-02-19,Scottie Scheffler,415000.00
andylicious,78ho83z,The Genesis Invitational,2026-02-19,Viktor Hovland,78000.00
balvari,0dh4357,The Genesis Invitational,2026-02-19,Scottie Scheffler,415000.00
Bdavis7916,k6hyezx,The Genesis Invitational,2026-02-19,Scottie Scheffler,415000.00
BigBoKnows,53h0gr5,The Genesis Invitational,2026-02-19,Cameron Young,603200.00
BigCat97,8vh9q4n,The Genesis Invitational,2026-02-19,Patrick Cantlay,92250.00
bpark88,36hm5ov,The Genesis Invitational,2026-02-19,Scottie Scheffler,415000.00
Cdimming,8vh9jk5,The Genesis Invitational,2026-02-19,Patrick Cantlay,92250.00
Cjlemoin,gkh3m67,The Genesis Invitational,2026-02-19,Xander Schauffele,603200.00
DKWoods,wrhv6kg,The Genesis Invitational,2026-02-19,Hideki Matsuyama,136500.00
Dreamweaver816,78hz953,The Genesis Invitational,2026-02-19,Sam Burns,0.00
Enicola0922,m3h6yyp,The Genesis Invitational,2026-02-19,Viktor Hovland,78000.00
FlyingArmbar,p8hnkv6,The Genesis Invitational,2026-02-19,Scottie Scheffler,415000.00
GH23,erhw7xv,The Genesis Invitational,2026-02-19,Patrick Cantlay,92250.00
GlizzyAtTheTurn,0dhkr87,The Genesis Invitational,2026-02-19,Cameron Young,603200.00
GopherHockey19,m3h87mr,The Genesis Invitational,2026-02-19,Hideki Matsuyama,136500.00
halliam1114,p8hdz40,The Genesis Invitational,2026-02-19,Scottie Scheffler,415000.00
Jackson1441,43h9m9d,The Genesis Invitational,2026-02-19,Jake Knapp,760000.00
JLUDEOBV,43h9376,The Genesis Invitational,2026-02-19,Hideki Matsuyama,136500.00
