USER,TOURNAMENT,PICK,EARNINGS
twoladsandanape (1),Arnold Palmer Invitational presented by Mastercard,S. Lowry,-50000
twoladsandanape (1),Cognizant Classic,N. Hojgaard,324000
twoladsandanape (1),The Genesis Invitational,X. Schauffele,603200
twoladsandanape (1),AT&T Pebble Beach Pro-Am,R. Henley,235000
twoladsandanape (1),WM Phoenix Open,P. Coody,242400
twoladsandanape (1),Masters Tournament,S. Scheffler,2700000
twoladsandanape (1),Valero Texas Open,J. Spieth,21364
twoladsandanape (1),Texas Children's Houston Open,M. Penge,-50000
twoladsandanape (1),Valspar Championship,R. Hisatsune,51142
twssquad (1),The Players Championship,X. Schauffele,1916667
twssquad (1),Arnold Palmer Invitational presented by Mastercard,C. Morikawa,840000
twssquad (1),The Genesis Invitational,L. Aberg,259500
twssquad (1),AT&T Pebble Beach Pro-Am,M. McNealy,125200
twssquad (1),WM Phoenix Open,H. Matsuyama,1046400
twssquad (1),Masters Tournament,S. Scheffler,2700000
twssquad (1),Valero Texas Open,R. MacIntyre,741533
twssquad (1),Texas Children's Houston Open,S. Theegala,259875
twssquad (1),Valspar Championship,J. Bridgeman,161525
twssquad (1),,,
tzentner (1),The Players Championship,T. Fleetwood,812500
tzentner (1),Arnold Palmer Invitational presented by Mastercard,C. Morikawa,840000
tzentner (1),Cognizant Classic,S. Lowry,726400
tzentner (1),The Genesis Invitational,R. McIlroy,1800000
tzentner (1),AT&T Pebble Beach Pro-Am,R. Henley,235000
tzentner (1),WM Phoenix Open,M. McNealy,188000
tzentner (1),Masters Tournament,J. Rahm,112500
tzentner (1),Valero Texas Open,S. Straka,-50000
tzentner (1),Texas Children's Houston Open,S. Burns,96525
tzentner (1),Valspar Championship,C. Conners,161525
westover (1),The Players Championship,J. Knapp,-55556
westover (1),Arnold Palmer Invitational presented by Mastercard,C. Young,1200000
westover (1),Cognizant Classic,R. Gerard,77600
westover (1),The Genesis Invitational,H. Matsuyama,136500
westover (1),AT&T Pebble Beach Pro-Am,T. Fleetwood,877500
westover (1),WM Phoenix Open,C. Gotterup,1728000
westover (1),Masters Tournament,S. Scheffler,2700000
westover (1),Valero Texas Open,M. McNealy,95550
westover (1),Texas Children's Houston Open,H. English,96525
westover (1),Valspar Championship,B. Griffin,-50000
Whale20c19b39 (1),The Players Championship,C. Morikawa,0
Whale20c19b39 (1),Arnold Palmer Invitational presented by Mastercard,L. Aberg,1200000
Whale20c19b39 (1),Cognizant Classic,B. Koepka,252000
Whale20c19b39 (1),The Genesis Invitational,P. Cantlay,92250
Whale20c19b39 (1),AT&T Pebble Beach Pro-Am,R. McIlroy,342750
Whale20c19b39 (1),WM Phoenix Open,D. Berger,160800
Whale20c19b39 (1),Masters Tournament,S. Scheffler,2700000
Whale20c19b39 (1),Valero Texas Open,R. MacIntyre,741533
Whale20c19b39 (1),Texas Children's Houston Open,W. Clark,-50000
Whale20c19b39 (1),Valspar Championship,J. Thomas,51142
wsmithuva (1),The Players Championship,C. Young,5000000
wsmithuva (1),Arnold Palmer Invitational presented by Mastercard,C. Morikawa,840000
wsmithuva (1),Cognizant Classic,M. McGreevy,31776
wsmithuva (1),The Genesis Invitational,S. Scheffler,415000
wsmithuva (1),AT&T Pebble Beach Pro-Am,J. Rose,78375
wsmithuva (1),WM Phoenix Open,S. Woo Kim,439680
wsmithuva (1),Masters Tournament,L. Aberg,280000
wsmithuva (1),Valero Texas Open,S. Straka,-50000
wsmithuva (1),Texas Children's Houston Open,C. Gotterup,322988
wsmithuva (1),Valspar Championship,J. Bridgeman,161525
