USER,TOURNAMENT,PICK,EARNINGS
fishbeinb (5),The Players Championship,H. Matsuyama,198611
fishbeinb (5),Arnold Palmer Invitational presented by Mastercard,X. Schauffele,157000
fishbeinb (5),Cognizant Classic,S. Lowry,726400
fishbeinb (5),The Genesis Invitational,T. Fleetwood,603200
fishbeinb (5),AT&T Pebble Beach Pro-Am,J. Rose,78375
fishbeinb (5),WM Phoenix Open,C. Gotterup,1728000
fishbeinb (5),Masters Tournament,R. McIlroy,5000000
fishbeinb (5),Valero Texas Open,R. Fowler,-50000
fishbeinb (5),Texas Children's Houston Open,M. Woo Lee,584100
fishbeinb (5),Valspar Championship,J. Thomas,51142
gafftop (1),The Players Championship,C. Young,5000000
gafftop (1),Arnold Palmer Invitational presented by Mastercard,R. Fowler,578000
gafftop (1),Cognizant Classic,M. Meissner,-50000
gafftop (1),The Genesis Invitational,J. Knapp,760000
gafftop (1),AT&T Pebble Beach Pro-Am,J. Rose,78375
gafftop (1),WM Phoenix Open,H. Li,-50000
gafftop (1),Masters Tournament,J. Rahm,112500
gafftop (1),Valero Texas Open,K. Mitchell,-50000
gafftop (1),Texas Children's Houston Open,M. Woo Lee,584100
gafftop (1),Valspar Championship,R. Hisatsune,51142
hatchattack (1),The Players Championship,C. Young,5000000
hatchattack (1),Arnold Palmer Invitational presented by Mastercard,C. Morikawa,840000
hatchattack (1),Cognizant Classic,R. Gerard,77600
hatchattack (1),The Genesis Invitational,H. Matsuyama,136500
hatchattack (1),AT&T Pebble Beach Pro-Am,S. Woo Kim,57000
hatchattack (1),WM Phoenix Open,M. McNealy,188000
hatchattack (1),Masters Tournament,B. DeChambeau,-55556
hatchattack (1),Valero Texas Open,J. Spieth,21364
hatchattack (1),Texas Children's Houston Open,M. Woo Lee,584100
hatchattack (1),Valspar Championship,J. Bridgeman,161525
jmac903 (1),The Players Championship,L. Aberg,1027778
jmac903 (1),Arnold Palmer Invitational presented by Mastercard,S. Woo Kim,373200
jmac903 (1),Cognizant Classic,R. Hojgaard,252000
jmac903 (1),The Genesis Invitational,X. Schauffele,603200
jmac903 (1),AT&T Pebble Beach Pro-Am,M. McNealy,125200
jmac903 (1),WM Phoenix Open,C. Morikawa,22272
jmac903 (1),Masters Tournament,S. Scheffler,2700000
jmac903 (1),Valero Texas Open,J. Spieth,21364
jmac903 (1),Texas Children's Houston Open,S. Burns,96525
jmac903 (1),Valspar Championship,J. Thomas,51142
JoBuNeedsARefill1 (2),The Players Championship,T. Fleetwood,812500
JoBuNeedsARefill1 (2),Arnold Palmer Invitational presented by Mastercard,C. Morikawa,840000
JoBuNeedsARefill1 (2),Cognizant Classic,S. Lowry,726400
JoBuNeedsARefill1 (2),The Genesis Invitational,S. Scheffler,415000
JoBuNeedsARefill1 (2),AT&T Pebble Beach Pro-Am,R. Henley,235000
JoBuNeedsARefill1 (2),WM Phoenix Open,C. Gotterup,1728000
JoBuNeedsARefill1 (2),Masters Tournament,B. DeChambeau,-55556
JoBuNeedsARefill1 (2),Valero Texas Open,S. Straka,-50000
JoBuNeedsARefill1 (2),Texas Children's Houston Open,J. Knapp,322988
JoBuNeedsARefill1 (2),Valspar Championship,V. Hovland,-50000
jrdzik (1),The Players Championship,T. Fleetwood,812500
jrdzik (1),Arnold Palmer Invitational presented by Mastercard,M. Fitzpatrick,78000
jrdzik (1),Cognizant Classic,J. Keefer,-50000
jrdzik (1),The Genesis Invitational,H. Matsuyama,136500
jrdzik (1),AT&T Pebble Beach Pro-Am,V. Hovland,39750
jrdzik (1),WM Phoenix Open,S. Woo Kim,439680
jrdzik (1),Masters Tournament,S. Scheffler,2700000
jrdzik (1),Valero Texas Open,D. McCarthy,-50000
jrdzik (1),Texas Children's Houston Open,S. Burns,96525
jrdzik (1),Valspar Championship,C. Conners,161525
justinmacmahan (1),The Players Championship,C. Morikawa,0
justinmacmahan (1),Arnold Palmer Invitational presented by Mastercard,T. Fleetwood,56000
justinmacmahan (1),Cognizant Classic,N. Hojgaard,324000
justinmacmahan (1),The Genesis Invitational,R. McIlroy,1800000
justinmacmahan (1),AT&T Pebble Beach Pro-Am,R. Henley,235000
justinmacmahan (1),WM Phoenix Open,C. Gotterup,1728000
justinmacmahan (1),Masters Tournament,P. Reed,475000
justinmacmahan (1),Valero Texas Open,R. Hisatsune,296450
justinmacmahan (1),Texas Children's Houston Open,A. Scott,96525
justinmacmahan (1),Valspar Championship,V. Hovland,-50000
justinmacmahan (4),The Players Championship,L. Aberg,1027778
