season,league_id,event_name,event_date,event_key,event_id,entry_id,username,player_name,dg_id,raw_winnings,event_order,start_date,event_name_sched,event_name_key,phase,year,close_odds,event_tier,pick_band,performance_risk,allocation_risk
2025,2025_small,Arnold Palmer Invitational presented by Mastercard,2025-03-06,Arnold Palmer Invitational presented by Mastercard_2025-03-06,9,0dh97eo,joempike,Rory McIlroy,10091,349000.0,9.0,2025-03-09,Arnold Palmer Invitational,arnold palmer invitational,early,2025,8.5,signature,elite,0.0,0.0
2025,2025_small,Arnold Palmer Invitational presented by Mastercard,2025-03-06,Arnold Palmer Invitational presented by Mastercard_2025-03-06,9,oohnzzy,jonescurtisw,Ludvig Aberg,23950,178111.0,9.0,2025-03-09,Arnold Palmer Invitational,arnold palmer invitational,early,2025,17.0,signature,elite,0.0,0.0
2025,2025_small,Arnold Palmer Invitational presented by Mastercard,2025-03-06,Arnold Palmer Invitational presented by Mastercard_2025-03-06,9,78hg7gx,jtsalvetti,Rory McIlroy,10091,349000.0,9.0,2025-03-09,Arnold Palmer Invitational,arnold palmer invitational,early,2025,8.5,signature,elite,0.0,0.0
2025,2025_small,Arnold Palmer Invitational presented by Mastercard,2025-03-06,Arnold Palmer Invitational presented by Mastercard_2025-03-06,9,k6hdexv,Kbhoff,Rory McIlroy,10091,349000.0,9.0,2025-03-09,Arnold Palmer Invitational,arnold palmer invitational,early,2025,8.5,signature,elite,0.0,0.0
2025,2025_small,Arnold Palmer Invitational presented by Mastercard,2025-03-06,Arnold Palmer Invitational presented by Mastercard_2025-03-06,9,zphy5wn,kbreardonPGA,Justin Thomas,14139,96750.0,9.0,2025-03-09,Arnold Palmer Invitational,arnold palmer invitational,early,2025,26.0,signature,normie,0.5,0.0
2025,2025_small,Arnold Palmer Invitational presented by Mastercard,2025-03-06,Arnold Palmer Invitational presented by Mastercard_2025-03-06,9,p8hdnq8,Koronin,Collin Morikawa,22085,2200000.0,9.0,2025-03-09,Arnold Palmer Invitational,arnold palmer invitational,early,2025,21.0,signature,normie,0.5,0.0
2025,2025_small,Arnold Palmer Invitational presented by Mastercard,2025-03-06,Arnold Palmer Invitational presented by Mastercard_2025-03-06,9,vnh3m0z,kotsko,Ludvig Aberg,23950,178111.0,9.0,2025-03-09,Arnold Palmer Invitational,arnold palmer invitational,early,2025,17.0,signature,elite,0.0,0.0
2025,2025_small,Arnold Palmer Invitational presented by Mastercard,2025-03-06,Arnold Palmer Invitational presented by Mastercard_2025-03-06,9,nehv68n,Kuzoben,Scottie Scheffler,18417,451250.0,9.0,2025-03-09,Arnold Palmer Invitational,arnold palmer invitational,early,2025,4.0,signature,elite,0.0,0.0
2025,2025_small,Arnold Palmer Invitational presented by Mastercard,2025-03-06,Arnold Palmer Invitational presented by Mastercard_2025-03-06,9,p8hde67,kylemendel,Rory McIlroy,10091,349000.0,9.0,2025-03-09,Arnold Palmer Invitational,arnold palmer invitational,early,2025,8.5,signature,elite,0.0,0.0
2025,2025_small,Arnold Palmer Invitational presented by Mastercard,2025-03-06,Arnold Palmer Invitational presented by Mastercard_2025-03-06,9,r8hryjj,linkcalhoun,Xander Schauffele,19895,78000.0,9.0,2025-03-09,Arnold Palmer Invitational,arnold palmer invitational,early,2025,17.0,signature,elite,0.0,0.0
2025,2025_small,Arnold Palmer Invitational presented by Mastercard,2025-03-06,Arnold Palmer Invitational presented by Mastercard_2025-03-06,9,k6hy7vy,MasterJ12thMan,Ludvig Aberg,23950,178111.0,9.0,2025-03-09,Arnold Palmer Invitational,arnold palmer invitational,early,2025,17.0,signature,elite,0.0,0.0
2025,2025_small,Arnold Palmer Invitational presented by Mastercard,2025-03-06,Arnold Palmer Invitational presented by Mastercard_2025-03-06,9,x0h7qno,mp925,Tommy Fleetwood,12294,451250.0,9.0,2025-03-09,Arnold Palmer Invitational,arnold palmer invitational,early,2025,29.0,signature,normie,0.5,0.0
2025,2025_small,Arnold Palmer Invitational presented by Mastercard,2025-03-06,Arnold Palmer Invitational presented by Mastercard_2025-03-06,9,qzhkmpj,MVVPP2024,Scottie Scheffler,18417,451250.0,9.0,2025-03-09,Arnold Palmer Invitational,arnold palmer invitational,early,2025,4.0,signature,elite,0.0,0.0
2025,2025_small,Arnold Palmer Invitational presented by Mastercard,2025-03-06,Arnold Palmer Invitational presented by Mastercard_2025-03-06,9,53h0555,MWalker9,Tommy Fleetwood,12294,451250.0,9.0,2025-03-09,Arnold Palmer Invitational,arnold palmer invitational,early,2025,29.0,signature,normie,0.5,0.0
2025,2025_small,Arnold Palmer Invitational presented by Mastercard,2025-03-06,Arnold Palmer Invitational presented by Mastercard_2025-03-06,9,78hzx7g,newcastle21,Rory McIlroy,10091,349000.0,9.0,2025-03-09,Arnold Palmer Invitational,arnold palmer invitational,early,2025,8.5,signature,elite,0.0,0.0
2025,2025_small,Arnold Palmer Invitational presented by Mastercard,2025-03-06,Arnold Palmer Invitational presented by Mastercard_2025-03-06,9,78hg6oy,Nikopmelis,Scottie Scheffler,18417,451250.0,9.0,2025-03-09,Arnold Palmer Invitational,arnold palmer invitational,early,2025,4.0,signature,elite,0.0,0.0
2025,2025_small,Arnold Palmer Invitational presented by Mastercard,2025-03-06,Arnold Palmer Invitational presented by Mastercard_2025-03-06,9,gkh936n,NinnaNation,Hideki Matsuyama,13562,178111.0,9.0,2025-03-09,Arnold Palmer Invitational,arnold palmer invitational,early,2025,26.0,signature,normie,0.5,0.0
2025,2025_small,Arnold Palmer Invitational presented by Mastercard,2025-03-06,Arnold Palmer Invitational presented by Mastercard_2025-03-06,9,zphyqd8,one007,Jason Day,9771,600667.0,9.0,2025-03-09,Arnold Palmer Invitational,arnold palmer invitational,early,2025,66.0,signature,longshot,1.5,0.0
2025,2025_small,Arnold Palmer Invitational presented by Mastercard,2025-03-06,Arnold Palmer Invitational presented by Mastercard_2025-03-06,9,m3hgno7,OrangeBirds8,Justin Thomas,14139,96750.0,9.0,2025-03-09,Arnold Palmer Invitational,arnold palmer invitational,early,2025,26.0,signature,normie,0.5,0.0
2025,2025_small,Arnold Palmer Invitational presented by Mastercard,2025-03-06,Arnold Palmer Invitational presented by Mastercard_2025-03-06,9,0dh9xrv,pangomango,Justin Thomas,14139,96750.0,9.0,2025-03-09,Arnold Palmer Invitational,arnold palmer invitational,early,2025,26.0,signature,normie,0.5,0.0
2025,2025_small,Arnold Palmer Invitational presented by Mastercard,2025-03-06,Arnold Palmer Invitational presented by Mastercard_2025-03-06,9,jjhmnzj,pbyrne11,Will Zalatoris,19428,178111.0,9.0,2025-03-09,Arnold Palmer Invitational,arnold palmer invitational,early,2025,46.0,signature,normie,0.5,0.0
2025,2025_small,Arnold Palmer Invitational presented by Mastercard,2025-03-06,Arnold Palmer Invitational presented by Mastercard_2025-03-06,9,p8h94mo,picksixer360,Hideki Matsuyama,13562,178111.0,9.0,2025-03-09,Arnold Palmer Invitational,arnold palmer invitational,early,2025,26.0,signature,normie,0.5,0.0
2025,2025_small,Arnold Palmer Invitational presented by Mastercard,2025-03-06,Arnold Palmer Invitational presented by Mastercard_2025-03-06,9,36h6038,Pjh5165,Patrick Cantlay,15466,126000.0,9.0,2025-03-09,Arnold Palmer Invitational,arnold palmer invitational,early,2025,26.0,signature,normie,0.5,0.0
2025,2025_small,Arnold Palmer Invitational presented by Mastercard,2025-03-06,Arnold Palmer Invitational presented by Mastercard_2025-03-06,9,qzhy7mq,Rjsut727,Collin Morikawa,22085,2200000.0,9.0,2025-03-09,Arnold Palmer Invitational,arnold palmer invitational,early,2025,21.0,signature,normie,0.5,0.0
