season,league_id,event_name,event_date,event_key,event_id,entry_id,username,player_name,dg_id,raw_winnings
2024,2024_small,Cognizant Classic in The Palm Beaches,2024-02-29,Cognizant Classic in The Palm Beaches_2024-02-29,10,53hpkgw,Sandell,Shane Lowry,13900.0,344250.0
2024,2024_small,Cognizant Classic in The Palm Beaches,2024-02-29,Cognizant Classic in The Palm Beaches_2024-02-29,10,qzh6rzp,Skibasher,Russell Henley,14578.0,32850.0
2024,2024_small,Cognizant Classic in The Palm Beaches,2024-02-29,Cognizant Classic in The Palm Beaches_2024-02-29,10,k6hx9nj,strokes3410,Byeong Hun An,14459.0,87750.0
2024,2024_small,Cognizant Classic in The Palm Beaches,2024-02-29,Cognizant Classic in The Palm Beaches_2024-02-29,10,dnhq46j,tboland1324,Adam Svensson,13997.0,0.0
2024,2024_small,Cognizant Classic in The Palm Beaches,2024-02-29,Cognizant Classic in The Palm Beaches_2024-02-29,10,r8h9kov,theWhistlesGoWo,Russell Henley,14578.0,32850.0
2024,2024_small,Cognizant Classic in The Palm Beaches,2024-02-29,Cognizant Classic in The Palm Beaches_2024-02-29,10,64h9jd8,thorrr,Keith Mitchell,17365.0,210536.0
2024,2024_small,Cognizant Classic in The Palm Beaches,2024-02-29,Cognizant Classic in The Palm Beaches_2024-02-29,10,qzh6p30,tice0101,Eric Cole,21756.0,0.0
2024,2024_small,Cognizant Classic in The Palm Beaches,2024-02-29,Cognizant Classic in The Palm Beaches_2024-02-29,10,wrhdqy3,Tiger4040,Keith Mitchell,17365.0,210536.0
2024,2024_small,Cognizant Classic in The Palm Beaches,2024-02-29,Cognizant Classic in The Palm Beaches_2024-02-29,10,wrhdz40,vegatime99,Eric Cole,21756.0,0.0
2024,2024_small,Cognizant Classic in The Palm Beaches,2024-02-29,Cognizant Classic in The Palm Beaches_2024-02-29,10,neh7k0d,Walshy0104,Eric Cole,21756.0,0.0
2024,2024_small,Cognizant Classic in The Palm Beaches,2024-02-29,Cognizant Classic in The Palm Beaches_2024-02-29,10,nehvyvz,Wickednick,Chris Kirk,12423.0,59014.0
2024,2024_small,Cognizant Classic in The Palm Beaches,2024-02-29,Cognizant Classic in The Palm Beaches_2024-02-29,10,43hrm4d,zjb23,Shane Lowry,13900.0,344250.0
2024,2024_small,Arnold Palmer Invitational presented by Mastercard,2024-03-07,Arnold Palmer Invitational presented by Mastercard_2024-03-07,9,jjhzg65,9thGreenAtNine,Scottie Scheffler,18417.0,4000000.0
2024,2024_small,Arnold Palmer Invitational presented by Mastercard,2024-03-07,Arnold Palmer Invitational presented by Mastercard_2024-03-07,9,64h9j7o,AKsREVENGE,Scottie Scheffler,18417.0,4000000.0
2024,2024_small,Arnold Palmer Invitational presented by Mastercard,2024-03-07,Arnold Palmer Invitational presented by Mastercard_2024-03-07,9,43hrmz5,anpyanks,Rory McIlroy,10091.0,224750.0
2024,2024_small,Arnold Palmer Invitational presented by Mastercard,2024-03-07,Arnold Palmer Invitational presented by Mastercard_2024-03-07,9,dnhqm0e,balvari,Scottie Scheffler,18417.0,4000000.0
2024,2024_small,Arnold Palmer Invitational presented by Mastercard,2024-03-07,Arnold Palmer Invitational presented by Mastercard_2024-03-07,9,qzhkx78,BigCat97,Rory McIlroy,10091.0,224750.0
2024,2024_small,Arnold Palmer Invitational presented by Mastercard,2024-03-07,Arnold Palmer Invitational presented by Mastercard_2024-03-07,9,78hp55w,Bjrobins123,Rory McIlroy,10091.0,224750.0
2024,2024_small,Arnold Palmer Invitational presented by Mastercard,2024-03-07,Arnold Palmer Invitational presented by Mastercard_2024-03-07,9,oohqvv9,CashMonet,Rory McIlroy,10091.0,224750.0
2024,2024_small,Arnold Palmer Invitational presented by Mastercard,2024-03-07,Arnold Palmer Invitational presented by Mastercard_2024-03-07,9,64h9g9w,chrismurf21,Ludvig Aberg,23950.0,162800.0
2024,2024_small,Arnold Palmer Invitational presented by Mastercard,2024-03-07,Arnold Palmer Invitational presented by Mastercard_2024-03-07,9,neh7mge,docpalm,Viktor Hovland,18841.0,88375.0
2024,2024_small,Arnold Palmer Invitational presented by Mastercard,2024-03-07,Arnold Palmer Invitational presented by Mastercard_2024-03-07,9,wrhd5vm,Donkosaurus,Xander Schauffele,19895.0,162800.0
2024,2024_small,Arnold Palmer Invitational presented by Mastercard,2024-03-07,Arnold Palmer Invitational presented by Mastercard_2024-03-07,9,ykhw95j,Dreamweaver816,Sam Burns,19483.0,123500.0
2024,2024_small,Arnold Palmer Invitational presented by Mastercard,2024-03-07,Arnold Palmer Invitational presented by Mastercard_2024-03-07,9,k6hx6gd,Enicola0922,Cameron Young,26651.0,88375.0
2024,2024_small,Arnold Palmer Invitational presented by Mastercard,2024-03-07,Arnold Palmer Invitational presented by Mastercard_2024-03-07,9,8vh0gp4,epab2350,Scottie Scheffler,18417.0,4000000.0
2024,2024_small,Arnold Palmer Invitational presented by Mastercard,2024-03-07,Arnold Palmer Invitational presented by Mastercard_2024-03-07,9,36h6jv5,GlizzyAtTheTurn,Scottie Scheffler,18417.0,4000000.0
2024,2024_small,Arnold Palmer Invitational presented by Mastercard,2024-03-07,Arnold Palmer Invitational presented by Mastercard_2024-03-07,9,wrhd3n7,golfprotriplets,Rory McIlroy,10091.0,224750.0
2024,2024_small,Arnold Palmer Invitational presented by Mastercard,2024-03-07,Arnold Palmer Invitational presented by Mastercard_2024-03-07,9,ykhwrxr,halliam1114,Scottie Scheffler,18417.0,4000000.0
2024,2024_small,Arnold Palmer Invitational presented by Mastercard,2024-03-07,Arnold Palmer Invitational presented by Mastercard_2024-03-07,9,m3hgm7j,HLAXERS,Rory McIlroy,10091.0,224750.0
2024,2024_small,Arnold Palmer Invitational presented by Mastercard,2024-03-07,Arnold Palmer Invitational presented by Mastercard_2024-03-07,9,wrhdgg8,itsabucslife1,Rory McIlroy,10091.0,224750.0
2024,2024_small,Arnold Palmer Invitational presented by Mastercard,2024-03-07,Arnold Palmer Invitational presented by Mastercard_2024-03-07,9,oohq00q,JermRussLFG,Viktor Hovland,18841.0,88375.0
2024,2024_small,Arnold Palmer Invitational presented by Mastercard,2024-03-07,Arnold Palmer Invitational presented by Mastercard_2024-03-07,9,vnhv54n,JLUDEOBV,Ludvig Aberg,23950.0,162800.0
2024,2024_small,Arnold Palmer Invitational presented by Mastercard,2024-03-07,Arnold Palmer Invitational presented by Mastercard_2024-03-07,9,oohq04p,joempike,Xander Schauffele,19895.0,162800.0
2024,2024_small,Arnold Palmer Invitational presented by Mastercard,2024-03-07,Arnold Palmer Invitational presented by Mastercard_2024-03-07,9,dnhqx8j,jonescurtisw,Scottie Scheffler,18417.0,4000000.0
2024,2024_small,Arnold Palmer Invitational presented by Mastercard,2024-03-07,Arnold Palmer Invitational presented by Mastercard_2024-03-07,9,qzhk84y,josen1,Collin Morikawa,22085.0,0.0
2024,2024_small,Arnold Palmer Invitational presented by Mastercard,2024-03-07,Arnold Palmer Invitational presented by Mastercard_2024-03-07,9,0dh95e7,jtsalvetti,Patrick Cantlay,15466.0,88375.0
2024,2024_small,Arnold Palmer Invitational presented by Mastercard,2024-03-07,Arnold Palmer Invitational presented by Mastercard_2024-03-07,9,36hx0j9,JustDan,Viktor Hovland,18841.0,88375.0
2024,2024_small,Arnold Palmer Invitational presented by Mastercard,2024-03-07,Arnold Palmer Invitational presented by Mastercard_2024-03-07,9,gkhdr46,Kbhoff,Viktor Hovland,18841.0,88375.0
2024,2024_small,Arnold Palmer Invitational presented by Mastercard,2024-03-07,Arnold Palmer Invitational presented by Mastercard_2024-03-07,9,78hp4ro,linkcalhoun,Patrick Cantlay,15466.0,88375.0
2024,2024_small,Arnold Palmer Invitational presented by Mastercard,2024-03-07,Arnold Palmer Invitational presented by Mastercard_2024-03-07,9,m3h790r,logandempsey20,Rory McIlroy,10091.0,224750.0
2024,2024_small,Arnold Palmer Invitational presented by Mastercard,2024-03-07,Arnold Palmer Invitational presented by Mastercard_2024-03-07,9,64he6nw,Mohmo,Scottie Scheffler,18417.0,4000000.0
