username,entryId,eventName,eventDate,selection,winnings
itsabucslife1,wrhdgg8,AT&T Pebble Beach Pro-Am,2024-02-01,Justin Thomas,642500.00
JermRussLFG,oohq00q,AT&T Pebble Beach Pro-Am,2024-02-01,Max Homa,35313.00
JLUDEOBV,vnhv54n,AT&T Pebble Beach Pro-Am,2024-02-01,Jordan Spieth,70125.00
joempike,oohq04p,AT&T Pebble Beach Pro-Am,2024-02-01,Jordan Spieth,70125.00
jonescurtisw,dnhqx8j,AT&T Pebble Beach Pro-Am,2024-02-01,Patrick Cantlay,455000.00
josen1,qzhk84y,AT&T Pebble Beach Pro-Am,2024-02-01,Xander Schauffele,42500.00
jtsalvetti,0dh95e7,AT&T Pebble Beach Pro-Am,2024-02-01,Tommy Fleetwood,106625.00
JustDan,36hx0j9,AT&T Pebble Beach Pro-Am,2024-02-01,Sungjae Im,35313.00
Kbhoff,gkhdr46,AT&T Pebble Beach Pro-Am,2024-02-01,Rory McIlroy,35313.00
linkcalhoun,78hp4ro,AT&T Pebble Beach Pro-Am,2024-02-01,Collin Morikawa,322500.00
logandempsey20,m3h790r,AT&T Pebble Beach Pro-Am,2024-02-01,Justin Thomas,642500.00
Mohmo,64he6nw,AT&T Pebble Beach Pro-Am,2024-02-01,Tommy Fleetwood,106625.00
nausetsurf,gkhd55z,AT&T Pebble Beach Pro-Am,2024-02-01,Tommy Fleetwood,106625.00
one007,53hpydy,AT&T Pebble Beach Pro-Am,2024-02-01,Keith Mitchell,42500.00
pangomango,jjhzgoz,AT&T Pebble Beach Pro-Am,2024-02-01,Patrick Cantlay,455000.00
pbyrne11,64hep78,AT&T Pebble Beach Pro-Am,2024-02-01,Max Homa,35313.00
picksixer360,erhp3gm,AT&T Pebble Beach Pro-Am,2024-02-01,Tommy Fleetwood,106625.00
Pitch12,53hpqnr,AT&T Pebble Beach Pro-Am,2024-02-01,Justin Thomas,642500.00
Rjsut727,k6hd763,AT&T Pebble Beach Pro-Am,2024-02-01,Justin Thomas,642500.00
SamDanes26,ykhy67v,AT&T Pebble Beach Pro-Am,2024-02-01,Justin Thomas,642500.00
Sandell,53hpkgw,AT&T Pebble Beach Pro-Am,2024-02-01,Justin Thomas,642500.00
Skibasher,qzh6rzp,AT&T Pebble Beach Pro-Am,2024-02-01,Patrick Cantlay,455000.00
strokes3410,k6hx9nj,AT&T Pebble Beach Pro-Am,2024-02-01,Denny McCarthy,143800.00
tboland1324,dnhq46j,AT&T Pebble Beach Pro-Am,2024-02-01,Collin Morikawa,322500.00
theWhistlesGoWo,r8h9kov,AT&T Pebble Beach Pro-Am,2024-02-01,Justin Thomas,642500.00
thorrr,64h9jd8,AT&T Pebble Beach Pro-Am,2024-02-01,Rory McIlroy,35313.00
tice0101,qzh6p30,AT&T Pebble Beach Pro-Am,2024-02-01,Patrick Cantlay,455000.00
Tiger4040,wrhdqy3,AT&T Pebble Beach Pro-Am,2024-02-01,Xander Schauffele,42500.00
vegatime99,wrhdz40,AT&T Pebble Beach Pro-Am,2024-02-01,Jordan Spieth,70125.00
Walshy0104,neh7k0d,AT&T Pebble Beach Pro-Am,2024-02-01,Max Homa,35313.00
