username,n_picks,ARI,PRI,elite_rate,normie_rate,longshot_rate,sig_longshot_rate,risk_composite,user_type
GlizzyAtTheTurn,63,17.46031746031746,42.06349206349206,0.2857142857142857,0.6031746031746031,0.1111111111111111,0.015873015873015872,27.3015873015873,mixed
picksixer360,59,16.101694915254235,44.06779661016949,0.3220338983050847,0.5254237288135594,0.15254237288135594,0.05084745762711865,27.28813559322034,gambler
strokes3410,60,18.75,40.0,0.3333333333333333,0.5666666666666667,0.1,0.03333333333333333,27.25,mixed
kylemendel,29,12.931034482758621,48.275862068965516,0.2413793103448276,0.5862068965517241,0.1724137931034483,0.034482758620689655,27.06896551724138,strategic_leverage
AndinoSmiles,31,13.709677419354838,46.774193548387096,0.2903225806451613,0.5161290322580645,0.1935483870967742,0.03225806451612903,26.935483870967744,strategic_leverage
tice0101,63,16.666666666666664,42.06349206349206,0.2698412698412698,0.6666666666666666,0.06349206349206349,0.047619047619047616,26.825396825396822,mixed
Dreamweaver816,63,17.063492063492063,41.269841269841265,0.2698412698412698,0.6666666666666666,0.06349206349206349,0.031746031746031744,26.746031746031743,mixed
MVVPP2024,31,18.548387096774192,38.70967741935484,0.2903225806451613,0.6774193548387096,0.03225806451612903,0.03225806451612903,26.61290322580645,mixed
HLAXERS,29,18.96551724137931,37.93103448275862,0.3448275862068966,0.5517241379310345,0.10344827586206896,0.0,26.551724137931032,mixed
Nikopmelis,33,18.939393939393938,37.878787878787875,0.3333333333333333,0.6060606060606061,0.06060606060606061,0.030303030303030304,26.515151515151512,mixed
joempike,62,16.129032258064516,41.935483870967744,0.3225806451612903,0.5483870967741935,0.12903225806451613,0.03225806451612903,26.451612903225808,mixed
josen1,28,7.142857142857142,55.35714285714286,0.10714285714285714,0.6785714285714286,0.21428571428571427,0.0,26.42857142857143,gambler
BigBoKnows,33,7.575757575757576,54.54545454545454,0.18181818181818182,0.6060606060606061,0.21212121212121213,0.06060606060606061,26.363636363636363,gambler
Pitch12,31,13.709677419354838,45.16129032258064,0.25806451612903225,0.6451612903225806,0.0967741935483871,0.06451612903225806,26.29032258064516,gambler
zjb23,61,9.836065573770492,50.81967213114754,0.21311475409836064,0.6065573770491803,0.18032786885245902,0.04918032786885246,26.229508196721316,strategic_leverage
newcastle21,33,11.363636363636363,48.484848484848484,0.21212121212121213,0.6363636363636364,0.15151515151515152,0.030303030303030304,26.21212121212121,strategic_leverage
kotsko,33,9.090909090909092,51.515151515151516,0.18181818181818182,0.6666666666666666,0.15151515151515152,0.06060606060606061,26.060606060606062,gambler
JermRussLFG,59,17.372881355932204,38.983050847457626,0.3559322033898305,0.5084745762711864,0.13559322033898305,0.0,26.016949152542374,mixed
MasterJ12thMan,30,13.333333333333334,45.0,0.26666666666666666,0.6333333333333333,0.1,0.06666666666666667,26.0,gambler
Cdimming,33,16.666666666666664,39.39393939393939,0.36363636363636365,0.5454545454545454,0.09090909090909091,0.06060606060606061,25.757575757575758,gambler
jtsalvetti,63,19.047619047619047,35.714285714285715,0.4126984126984127,0.49206349206349204,0.09523809523809523,0.031746031746031744,25.714285714285715,mixed
Rjsut727,64,16.015625,39.84375,0.3125,0.609375,0.078125,0.03125,25.546875,mixed
Pjh5165,33,15.151515151515152,40.909090909090914,0.2727272727272727,0.6666666666666666,0.06060606060606061,0.030303030303030304,25.45454545454546,mixed
tboland1324,30,16.666666666666664,38.333333333333336,0.36666666666666664,0.5333333333333333,0.1,0.03333333333333333,25.333333333333336,mixed
itsabucslife1,31,19.35483870967742,33.87096774193548,0.3225806451612903,0.6774193548387096,0.0,0.0,25.161290322580644,disciplined_saver
AKsREVENGE,64,18.359375,35.15625,0.375,0.5625,0.0625,0.015625,25.078125,mixed
