tour,year,season,event_completed,event_name,event_id,player_name,dg_id,fin_text,round_num,course_name,course_num,course_par,start_hole,teetime,round_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,driving_dist,driving_acc,gir,scrambling,prox_rgh,prox_fw,great_shots,poor_shots,eagles_or_better,birdies,pars,bogies,doubles_or_worse,finish_num,round_date
PGA,2026,2026,2026-01-18,Sony Open in Hawaii,6,"Cole, Eric",21756,CUT,2,Waialae Country Club,6,70.0,1.0,7:21am,73.0,-2.034,0.4,-0.145,-1.187,-0.932,-2.966,285.8,0.5,0.5,0.636,47.843,41.04,2.0,4.0,0.0,2.0,11.0,5.0,0.0,CUT,2026-01-16
PGA,2026,2026,2026-01-18,Sony Open in Hawaii,6,"Cole, Eric",21756,CUT,1,Waialae Country Club,6,70.0,10.0,11:51am,67.0,0.17,1.236,1.698,-1.321,1.613,1.783,287.4,0.5,0.611,0.857,88.138,27.446,2.0,3.0,0.0,4.0,13.0,1.0,0.0,CUT,2026-01-15
PGA,2026,2026,2026-01-18,Sony Open in Hawaii,6,"Hossler, Beau",15470,CUT,2,Waialae Country Club,6,70.0,1.0,7:32am,71.0,-0.319,0.38,-1.09,0.063,-0.647,-0.966,291.2,0.571,0.556,0.778,73.77,29.821,2.0,4.0,0.0,1.0,15.0,2.0,0.0,CUT,2026-01-16
PGA,2026,2026,2026-01-18,Sony Open in Hawaii,6,"Hossler, Beau",15470,CUT,1,Waialae Country Club,6,70.0,10.0,12:02pm,69.0,0.736,0.102,-0.995,-0.06,-0.953,-0.217,289.2,0.5,0.556,0.6,43.182,35.684,4.0,2.0,0.0,5.0,10.0,2.0,1.0,CUT,2026-01-15
PGA,2026,2026,2026-01-18,Sony Open in Hawaii,6,"Morikawa, Collin",22085,CUT,2,Waialae Country Club,6,70.0,1.0,12:13pm,68.0,-1.112,-0.2,2.022,1.324,3.146,2.034,302.5,0.643,0.722,0.5,68.324,21.251,3.0,3.0,0.0,4.0,12.0,2.0,0.0,CUT,2026-01-16
PGA,2026,2026,2026-01-18,Sony Open in Hawaii,6,"Morikawa, Collin",22085,CUT,1,Waialae Country Club,6,70.0,10.0,7:43am,72.0,-1.993,-1.108,-0.724,0.608,-1.224,-3.217,288.2,0.857,0.722,0.429,58.895,28.662,2.0,7.0,0.0,4.0,8.0,6.0,0.0,CUT,2026-01-15
PGA,2026,2026,2026-01-18,Sony Open in Hawaii,6,"Eckroat, Austin",26653,CUT,2,Waialae Country Club,6,70.0,1.0,11:40am,73.0,-1.814,-1.098,0.0,-0.054,-1.152,-2.966,286.6,0.643,0.611,0.444,41.458,28.155,1.0,7.0,0.0,1.0,13.0,4.0,0.0,CUT,2026-01-16
PGA,2026,2026,2026-01-18,Sony Open in Hawaii,6,"Eckroat, Austin",26653,CUT,1,Waialae Country Club,6,70.0,10.0,7:10am,67.0,1.936,-0.508,1.891,-1.536,-0.153,1.783,287.6,0.643,0.833,0.5,82.375,21.065,6.0,2.0,0.0,5.0,11.0,2.0,0.0,CUT,2026-01-15
PGA,2026,2026,2026-01-18,Sony Open in Hawaii,6,"van Rooyen, Erik",17550,CUT,2,Waialae Country Club,6,70.0,10.0,11:51am,73.0,-1.9,-1.535,-0.211,0.68,-1.066,-2.966,304.1,0.714,0.667,0.5,42.859,35.325,2.0,4.0,0.0,3.0,9.0,6.0,0.0,CUT,2026-01-16
PGA,2026,2026,2026-01-18,Sony Open in Hawaii,6,"Fisk, Steven",26657,CUT,2,Waialae Country Club,6,70.0,10.0,12:35pm,70.0,0.527,-0.122,0.879,-1.25,-0.493,0.034,290.9,0.643,0.722,0.833,57.039,35.936,2.0,3.0,0.0,4.0,10.0,4.0,0.0,CUT,2026-01-16
PGA,2026,2026,2026-01-18,Sony Open in Hawaii,6,"Bradley, Keegan",13872,CUT,2,Waialae Country Club,6,70.0,10.0,7:43am,72.0,-1.992,-0.861,-1.007,1.894,0.026,-1.966,304.2,0.786,0.667,0.5,19.915,29.339,2.0,6.0,0.0,4.0,9.0,4.0,1.0,CUT,2026-01-16
PGA,2026,2026,2026-01-18,Sony Open in Hawaii,6,"Bradley, Keegan",13872,CUT,1,Waialae Country Club,6,70.0,1.0,12:13pm,68.0,1.757,-0.634,-1.029,0.689,-0.974,0.783,288.0,0.714,0.722,0.5,57.378,32.411,4.0,4.0,0.0,4.0,12.0,2.0,0.0,CUT,2026-01-15
PGA,2026,2026,2026-01-18,Sony Open in Hawaii,6,"Hisatsune, Ryo",22760,CUT,2,Waialae Country Club,6,70.0,1.0,12:46pm,69.0,-0.864,0.198,1.323,0.377,1.898,1.034,303.6,0.571,0.833,0.5,88.755,27.758,5.0,2.0,0.0,4.0,11.0,3.0,0.0,CUT,2026-01-16
PGA,2026,2026,2026-01-18,Sony Open in Hawaii,6,"Hisatsune, Ryo",22760,CUT,1,Waialae Country Club,6,70.0,10.0,8:16am,71.0,-1.304,0.778,-2.372,0.681,-0.913,-2.217,286.6,0.643,0.611,0.75,90.531,31.087,0.0,2.0,0.0,0.0,17.0,1.0,0.0,CUT,2026-01-15
PGA,2026,2026,2026-01-18,Sony Open in Hawaii,6,"Smotherman, Austin",22985,CUT,2,Waialae Country Club,6,70.0,1.0,8:16am,69.0,0.962,-1.939,1.904,0.107,0.072,1.034,287.6,0.571,0.556,0.7,37.01,25.075,3.0,4.0,0.0,3.0,13.0,2.0,0.0,CUT,2026-01-16
PGA,2026,2026,2026-01-18,Sony Open in Hawaii,6,"Smotherman, Austin",22985,CUT,1,Waialae Country Club,6,70.0,10.0,12:46pm,71.0,-2.299,0.854,-0.731,-0.041,0.082,-2.217,290.4,0.429,0.611,0.625,43.218,37.061,2.0,4.0,0.0,2.0,13.0,3.0,0.0,CUT,2026-01-15
PGA,2026,2026,2026-01-18,Sony Open in Hawaii,6,"Horschel, Billy",11276,74,4,Waialae Country Club,6,70.0,1.0,7:10am,71.0,0.16,-1.045,-1.26,-0.937,-3.242,-3.081,294.5,0.571,0.667,0.714,60.252,33.922,1.0,3.0,0.0,2.0,13.0,3.0,0.0,74,2026-01-18
PGA,2026,2026,2026-01-18,Sony Open in Hawaii,6,"Horschel, Billy",11276,74,3,Waialae Country Club,6,70.0,1.0,7:55am,74.0,-1.994,-0.967,-0.031,-0.872,-1.87,-3.865,290.9,0.429,0.556,0.4,27.68,38.769,2.0,6.0,0.0,2.0,10.0,6.0,0.0,74,2026-01-17
PGA,2026,2026,2026-01-18,Sony Open in Hawaii,6,"Horschel, Billy",11276,74,2,Waialae Country Club,6,70.0,1.0,8:05am,70.0,-0.105,1.819,-1.088,-0.592,0.139,0.034,290.3,0.643,0.556,0.875,51.466,31.446,3.0,2.0,0.0,2.0,14.0,2.0,0.0,74,2026-01-16
PGA,2026,2026,2026-01-18,Sony Open in Hawaii,6,"Fisk, Steven",26657,CUT,1,Waialae Country Club,6,70.0,1.0,8:05am,70.0,0.32,-1.457,-1.353,1.273,-1.537,-1.217,289.3,0.714,0.667,0.444,18.654,32.378,4.0,4.0,0.0,5.0,9.0,3.0,1.0,CUT,2026-01-15
PGA,2026,2026,2026-01-18,Sony Open in Hawaii,6,"Chatfield, Davis",30620,CUT,1,Waialae Country Club,6,70.0,10.0,12:57pm,70.0,-0.628,0.458,-1.509,0.462,-0.589,-1.217,281.6,0.857,0.667,0.5,50.004,41.212,2.0,4.0,0.0,2.0,14.0,2.0,0.0,CUT,2026-01-15
PGA,2026,2026,2026-01-18,Sony Open in Hawaii,6,"Chatfield, Davis",30620,CUT,2,Waialae Country Club,6,70.0,1.0,8:27am,71.0,-1.005,-0.078,-0.01,0.127,0.039,-0.966,282.7,0.643,0.611,0.625,90.774,24.626,3.0,5.0,0.0,3.0,11.0,4.0,0.0,CUT,2026-01-16
PGA,2026,2026,2026-01-18,Sony Open in Hawaii,6,"VanDerLaan, John",25319,CUT,1,Waialae Country Club,6,70.0,1.0,8:49am,63.0,3.524,-0.634,1.32,1.573,2.259,5.783,294.9,0.929,0.833,0.75,64.314,31.164,5.0,2.0,1.0,7.0,8.0,2.0,0.0,CUT,2026-01-15
PGA,2026,2026,2026-01-18,Sony Open in Hawaii,6,"Lebioda, Hank",21943,CUT,1,Waialae Country Club,6,70.0,1.0,11:40am,71.0,-0.432,-0.345,-0.309,-1.131,-1.785,-2.217,282.7,0.429,0.833,0.5,94.348,25.671,2.0,2.0,0.0,0.0,17.0,1.0,0.0,CUT,2026-01-15
PGA,2026,2026,2026-01-18,Sony Open in Hawaii,6,"Saddier, Adrien",14792,CUT,2,Waialae Country Club,6,70.0,1.0,8:16am,74.0,-1.898,0.894,-1.275,-1.687,-2.068,-3.966,283.5,0.714,0.5,0.6,29.523,36.679,1.0,5.0,0.0,4.0,8.0,4.0,2.0,CUT,2026-01-16
PGA,2026,2026,2026-01-18,Sony Open in Hawaii,6,"Saddier, Adrien",14792,CUT,1,Waialae Country Club,6,70.0,10.0,12:46pm,68.0,2.588,-0.321,-1.615,0.131,-1.805,0.783,294.0,0.571,0.444,0.75,51.457,33.615,4.0,1.0,0.0,5.0,10.0,3.0,0.0,CUT,2026-01-15
PGA,2026,2026,2026-01-18,Sony Open in Hawaii,6,"Nagasaki, Taisei",32081,CUT,2,Waialae Country Club,6,70.0,10.0,8:38am,67.0,0.579,0.088,0.95,1.417,2.455,3.034,302.4,0.857,0.722,0.833,33.293,34.202,4.0,2.0,0.0,5.0,11.0,2.0,0.0,CUT,2026-01-16
PGA,2026,2026,2026-01-18,Sony Open in Hawaii,6,"Nagasaki, Taisei",32081,CUT,1,Waialae Country Club,6,70.0,1.0,1:08pm,75.0,-1.136,-1.148,-3.495,-0.438,-5.081,-6.217,290.1,0.571,0.556,0.5,162.407,29.961,1.0,4.0,0.0,2.0,11.0,3.0,2.0,CUT,2026-01-15
PGA,2026,2026,2026-01-18,Sony Open in Hawaii,6,"Davis, Cam",17786,CUT,2,Waialae Country Club,6,70.0,10.0,12:13pm,74.0,-1.625,-1.476,-0.508,-0.357,-2.341,-3.966,302.0,0.571,0.667,0.25,52.329,34.55,3.0,8.0,0.0,3.0,10.0,4.0,1.0,CUT,2026-01-16
PGA,2026,2026,2026-01-18,Sony Open in Hawaii,6,"Davis, Cam",17786,CUT,1,Waialae Country Club,6,70.0,1.0,7:43am,68.0,-0.698,0.886,1.043,-0.448,1.481,0.783,293.2,0.5,0.722,0.857,45.854,24.381,3.0,1.0,0.0,3.0,14.0,1.0,0.0,CUT,2026-01-15
PGA,2026,2026,2026-01-18,Sony Open in Hawaii,6,"Higa, Kazuki",15756,CUT,2,Waialae Country Club,6,70.0,10.0,8:49am,70.0,0.858,-0.014,-0.25,-0.56,-0.824,0.034,278.6,0.571,0.5,0.875,100.749,28.598,4.0,1.0,0.0,3.0,12.0,3.0,0.0,CUT,2026-01-16
PGA,2026,2026,2026-01-18,Sony Open in Hawaii,6,"Higa, Kazuki",15756,CUT,1,Waialae Country Club,6,70.0,1.0,1:19pm,71.0,-1.905,-0.62,0.256,0.052,-0.312,-2.217,283.1,0.643,0.722,0.6,100.677,26.699,0.0,2.0,0.0,2.0,13.0,3.0,0.0,CUT,2026-01-15
PGA,2026,2026,2026-01-18,Sony Open in Hawaii,6,"Campos, Rafael",12909,CUT,2,Waialae Country Club,6,70.0,1.0,7:32am,71.0,1.374,-0.563,-2.664,0.887,-2.34,-0.966,289.9,0.786,0.611,0.667,56.192,37.425,3.0,3.0,0.0,2.0,13.0,3.0,0.0,CUT,2026-01-16
PGA,2026,2026,2026-01-18,Sony Open in Hawaii,6,"Campos, Rafael",12909,CUT,1,Waialae Country Club,6,70.0,10.0,12:02pm,70.0,-0.29,0.548,-1.481,0.006,-0.927,-1.217,293.3,0.5,0.778,0.6,98.218,33.325,1.0,2.0,0.0,2.0,14.0,2.0,0.0,CUT,2026-01-15
PGA,2026,2026,2026-01-18,Sony Open in Hawaii,6,"Schmid, Matti",20722,CUT,2,Waialae Country Club,6,70.0,1.0,11:51am,71.0,-0.665,-0.483,-1.453,1.635,-0.301,-0.966,308.4,0.643,0.778,0.5,35.309,34.51,3.0,3.0,0.0,3.0,11.0,4.0,0.0,CUT,2026-01-16
PGA,2026,2026,2026-01-18,Sony Open in Hawaii,6,"Schmid, Matti",20722,CUT,1,Waialae Country Club,6,70.0,10.0,7:21am,70.0,0.501,1.044,-0.459,-2.303,-1.718,-1.217,297.2,0.357,0.556,0.429,60.072,34.661,5.0,6.0,0.0,5.0,9.0,3.0,1.0,CUT,2026-01-15
PGA,2026,2026,2026-01-18,Sony Open in Hawaii,6,"McGreevy, Max",23505,CUT,1,Waialae Country Club,6,70.0,1.0,12:57pm,68.0,-2.006,-0.264,1.657,1.396,2.789,0.783,295.3,0.857,0.833,0.667,30.882,24.059,1.0,1.0,0.0,3.0,14.0,1.0,0.0,CUT,2026-01-15
