course_num,course_name,status,n_player_events,r2,randomness,beta_ott,beta_app,beta_arg,beta_putt,beta_ott_shrunk,beta_app_shrunk,beta_arg_shrunk,beta_putt_shrunk,predictability,imp_ott,imp_app,imp_arg,imp_putt,primary_skill,predictability_pct,randomness_pct,r2_pct
240,Club de Golf Chapultepec,ok,247,0.15612226419877817,0.8438777358012218,2.008552663347482,0.46539206376937997,1.0997304828561438,0.9639509616054057,1.3725645150045664,0.7447539368824811,0.7212596048560266,0.6585056141154486,1.8418568988307182,0.3924883257561882,0.21296428881258264,0.2062460246136918,0.18830136081753732,OTT,0.9,0.16666666666666666,0.85
665,Innisbrook Resort (Copperhead),ok,1174,0.10641278106726515,0.8935872189327349,0.8548572342951946,0.985438149217522,0.6287622913140031,0.53242609670075,0.9850886182500058,0.922852036143005,0.618891746211465,0.5453028003997062,1.5819094803658755,0.32065275575372204,0.30039434327022924,0.20145329086075678,0.1774996101152919,OTT,0.25,0.55,0.4666666666666667
742,Grand Reserve Golf Club,ok,766,0.16294727076470927,0.8370527292352907,1.2057209845646448,0.8099648390777663,0.4588234098428033,0.6338629399747786,1.190641643384081,0.8207143032557407,0.53319547187636,0.5982749058001404,1.6533087324116211,0.37884423780340093,0.2611389299197994,0.16965476830551535,0.19036206397128447,OTT,0.43333333333333335,0.1,0.9166666666666666
771,The Old White TPC,ok,411,0.14850447599650352,0.8514955240034965,1.2838281994028846,1.002915210748824,0.6383821341908351,0.5330545325849934,1.212729916860065,0.8893506885075868,0.6159376004716974,0.5536291522335026,1.7168409548569017,0.37067867778219765,0.2718357424167666,0.1882652783319876,0.16922030146904804,OTT,0.5833333333333334,0.23333333333333334,0.7833333333333333
776,Sea Island GC (Seaside),ok,613,0.07172632577808247,0.9282736742219175,0.6267925466716273,0.7527294269777106,0.470080036697888,0.7247017849533395,0.9378530576593493,0.7970478916505714,0.5461319458702035,0.63382992543435,1.4882386152837523,0.32174860889736245,0.27344267662055805,0.1873611142204884,0.21744760026159105,OTT,0.1,0.8833333333333333,0.13333333333333333
700,TPC Boston,ok,316,0.0965415743070992,0.9034584256929008,1.5963929455780852,0.5831757275598752,0.42349180412582554,1.0222394283407503,1.2951816399333582,0.7608324928977074,0.5531799167764814,0.693895295535857,1.7446662328826774,0.39211220303128913,0.23033966490079177,0.16747349495399888,0.21007463711392024,OTT,0.7,0.6166666666666667,0.4
242,Nine Bridges,ok,207,0.0910690521375973,0.9089309478624027,0.6396109281706531,0.6854385153804934,1.619847801367149,-0.5084420788367757,1.0659006966179525,0.8010837188169643,0.8131418787505383,0.34370603787798104,1.5991288175303418,0.35249993371510496,0.2649233260464253,0.2689110338983834,0.11366570634008637,OTT,0.3,0.6666666666666666,0.35
704,Stadium Course,ok,641,0.028365778842451284,0.9716342211575487,0.566876264621811,0.4077317619083568,0.08001753061260247,-0.07644809266848365,0.9051562976998846,0.6427214375768061,0.37114268850900106,0.27922016867580945,1.2033742424597575,0.4117639810692091,0.2923799331979001,0.1688362455782924,0.12701984015459833,OTT,0.03333333333333333,0.9833333333333333,0.03333333333333333
510,TPC Scottsdale,ok,1181,0.09603478552685307,0.9039652144731469,1.3244892409261637,0.6469718310655282,0.678519272275584,0.5532901509426196,1.2646059227141606,0.721291905428223,0.6485899230571717,0.5576956884026114,1.688544794121311,0.396157033779915,0.22595565670816078,0.20318065528778126,0.17470665422414308,OTT,0.5333333333333333,0.6333333333333333,0.38333333333333336
4,Torrey Pines GC (South),ok,679,0.07394833155777947,0.9260516684422205,0.9294400576622801,0.7878331644647458,0.2663692937155468,0.4518687728557812,1.0629157123161874,0.811186106042247,0.44921577244871436,0.5126290650651892,1.5007984803733367,0.3748010245944609,0.2860371524840004,0.15840064252214767,0.18076118039939096,OTT,0.11666666666666667,0.8666666666666667,0.15
