tour,event_name,course_name,event_id,date_start,date_end,last_updated,current_round,tz_offset,dg_id,player_num,player_name,am,pre_tourn_pageviews,country,dg_rank,owgr_rank,tour_rank,r1_course_code,r1_course_name,r1_course_num,r1_round_num,r1_start_hole,r1_teetime,r1_wave,r2_course_code,r2_course_name,r2_course_num,r2_round_num,r2_start_hole,r2_teetime,r2_wave,r3_course_code,r3_course_name,r3_course_num,r3_round_num,r3_start_hole,r3_teetime,r3_wave,r4_course_code,r4_course_name,r4_course_num,r4_round_num,r4_start_hole,r4_teetime,r4_wave,partner_dg_id,partner_player_name
upcoming_pga,Zurich Classic of New Orleans,TPC Louisiana,18,2026-04-23,2026-04-26,2026-04-18 07:10:30 UTC,1,-18000,15470,35461,"Hossler, Beau",0,0,USA,144.0,163.0,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16715,"Ryder, Sam"
upcoming_pga,Zurich Classic of New Orleans,TPC Louisiana,18,2026-04-23,2026-04-26,2026-04-18 07:10:30 UTC,1,-18000,16333,36801,"Hubbard, Mark",0,0,USA,243.0,152.0,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10423,"Brehm, Ryan"
upcoming_pga,Zurich Classic of New Orleans,TPC Louisiana,18,2026-04-23,2026-04-26,2026-04-18 07:10:30 UTC,1,-18000,15556,35506,"Hughes, Mackenzie",0,0,CAN,132.0,123.0,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17780,"Pendrith, Taylor"
upcoming_pga,Zurich Classic of New Orleans,TPC Louisiana,18,2026-04-23,2026-04-26,2026-04-18 07:10:30 UTC,1,-18000,16394,36799,"Jaeger, Stephan",0,0,GER,102.0,99.0,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29279,"Suber, Jackson"
upcoming_pga,Zurich Classic of New Orleans,TPC Louisiana,18,2026-04-23,2026-04-26,2026-04-18 07:10:30 UTC,1,-18000,26947,57688,"Jarvis, Casey",0,0,RSA,80.0,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21883,"Ewart, A.J."
upcoming_pga,Zurich Classic of New Orleans,TPC Louisiana,18,2026-04-23,2026-04-26,2026-04-18 07:10:30 UTC,1,-18000,19729,47917,"Kanaya, Takumi",0,0,JPN,159.0,128.0,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29770,"Mouw, William"
upcoming_pga,Zurich Classic of New Orleans,TPC Louisiana,18,2026-04-23,2026-04-26,2026-04-18 07:10:30 UTC,1,-18000,21889,47393,"Kang, Jeffrey",0,0,USA,361.0,242.0,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24550,"Ghim, Doug"
upcoming_pga,Zurich Classic of New Orleans,TPC Louisiana,18,2026-04-23,2026-04-26,2026-04-18 07:10:30 UTC,1,-18000,32457,63454,"Keefer, Johnny",0,0,USA,147.0,66.0,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29197,"Brennan, Michael"
upcoming_pga,Zurich Classic of New Orleans,TPC Louisiana,18,2026-04-23,2026-04-26,2026-04-18 07:10:30 UTC,1,-18000,15004,34587,"Kim, Chan",0,0,USA,273.0,287.0,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7820,"Palmer, Ryan"
upcoming_pga,Zurich Classic of New Orleans,TPC Louisiana,18,2026-04-23,2026-04-26,2026-04-18 07:10:30 UTC,1,-18000,24766,55182,"Kim, Tom",0,0,KOR,126.0,134.0,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17881,"Yu, Kevin"
upcoming_pga,Zurich Classic of New Orleans,TPC Louisiana,18,2026-04-23,2026-04-26,2026-04-18 07:10:30 UTC,1,-18000,12423,30926,"Kirk, Chris",0,0,USA,90.0,98.0,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13470,"Kizzire, Patton"
upcoming_pga,Zurich Classic of New Orleans,TPC Louisiana,18,2026-04-23,2026-04-26,2026-04-18 07:10:30 UTC,1,-18000,13470,32757,"Kizzire, Patton",0,0,USA,285.0,273.0,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12423,"Kirk, Chris"
upcoming_pga,Zurich Classic of New Orleans,TPC Louisiana,18,2026-04-23,2026-04-26,2026-04-18 07:10:30 UTC,1,-18000,13831,33122,"Knox, Russell",0,0,SCO,359.0,370.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14926,"Malnati, Peter"
upcoming_pga,Zurich Classic of New Orleans,TPC Louisiana,18,2026-04-23,2026-04-26,2026-04-18 07:10:30 UTC,1,-18000,16243,36689,"Koepka, Brooks",0,0,USA,75.0,129.0,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13900,"Lowry, Shane"
upcoming_pga,Zurich Classic of New Orleans,TPC Louisiana,18,2026-04-23,2026-04-26,2026-04-18 07:10:30 UTC,1,-18000,16395,36884,"Kohles, Ben",0,0,USA,171.0,284.0,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15330,"Griffin, Lanto"
upcoming_pga,Zurich Classic of New Orleans,TPC Louisiana,18,2026-04-23,2026-04-26,2026-04-18 07:10:30 UTC,1,-18000,6169,23108,"Kuchar, Matt",0,0,USA,143.0,166.0,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24342,"Higgo, Garrick"
upcoming_pga,Zurich Classic of New Orleans,TPC Louisiana,18,2026-04-23,2026-04-26,2026-04-18 07:10:30 UTC,1,-18000,24343,54422,"Lamprecht, Christo",0,0,RSA,296.0,201.0,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32055,"Shipley, Neal"
upcoming_pga,Zurich Classic of New Orleans,TPC Louisiana,18,2026-04-23,2026-04-26,2026-04-18 07:10:30 UTC,1,-18000,21943,49766,"Lebioda, Hank",0,0,USA,200.0,205.0,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21756,"Cole, Eric"
upcoming_pga,Zurich Classic of New Orleans,TPC Louisiana,18,2026-04-23,2026-04-26,2026-04-18 07:10:30 UTC,1,-18000,15310,35296,"Li, Haotong",0,0,CHN,99.0,78.0,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18586,"Smith, Jordan"
upcoming_pga,Zurich Classic of New Orleans,TPC Louisiana,18,2026-04-23,2026-04-26,2026-04-18 07:10:30 UTC,1,-18000,15980,36326,"Lipsky, David",0,0,USA,146.0,88.0,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23504,"Hoey, Rico"
upcoming_pga,Zurich Classic of New Orleans,TPC Louisiana,18,2026-04-23,2026-04-26,2026-04-18 07:10:30 UTC,1,-18000,7960,27129,"List, Luke",0,0,USA,491.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11657,"Norlander, Henrik"
upcoming_pga,Zurich Classic of New Orleans,TPC Louisiana,18,2026-04-23,2026-04-26,2026-04-18 07:10:30 UTC,1,-18000,17723,40162,"Lower, Justin",0,0,USA,340.0,208.0,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19840,"Ramey, Chad"
upcoming_pga,Zurich Classic of New Orleans,TPC Louisiana,18,2026-04-23,2026-04-26,2026-04-18 07:10:30 UTC,1,-18000,13900,33204,"Lowry, Shane",0,0,IRL,28.0,34.0,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16243,"Koepka, Brooks"
upcoming_pga,Zurich Classic of New Orleans,TPC Louisiana,18,2026-04-23,2026-04-26,2026-04-18 07:10:30 UTC,1,-18000,14926,34466,"Malnati, Peter",0,0,USA,354.0,,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13831,"Knox, Russell"
upcoming_pga,Zurich Classic of New Orleans,TPC Louisiana,18,2026-04-23,2026-04-26,2026-04-18 07:10:30 UTC,1,-18000,14007,33413,"Martin, Ben",0,0,USA,339.0,422.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27780,"Crowe, Trace"
upcoming_pga,Zurich Classic of New Orleans,TPC Louisiana,18,2026-04-23,2026-04-26,2026-04-18 07:10:30 UTC,1,-18000,28635,59141,"McCarty, Matt",0,0,USA,57.0,48.0,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28159,"Meissner, Mac"
upcoming_pga,Zurich Classic of New Orleans,TPC Louisiana,18,2026-04-23,2026-04-26,2026-04-18 07:10:30 UTC,1,-18000,23505,51950,"McGreevy, Max",0,0,USA,62.0,75.0,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18424,"Roy, Kevin"
upcoming_pga,Zurich Classic of New Orleans,TPC Louisiana,18,2026-04-23,2026-04-26,2026-04-18 07:10:30 UTC,1,-18000,28159,59143,"Meissner, Mac",0,0,USA,82.0,116.0,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28635,"McCarty, Matt"
upcoming_pga,Zurich Classic of New Orleans,TPC Louisiana,18,2026-04-23,2026-04-26,2026-04-18 07:10:30 UTC,1,-18000,13367,32640,"Merritt, Troy",0,0,USA,433.0,498.0,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14852,"Streb, Robert"
upcoming_pga,Zurich Classic of New Orleans,TPC Louisiana,18,2026-04-23,2026-04-26,2026-04-18 07:10:30 UTC,1,-18000,17365,39546,"Mitchell, Keith",0,0,USA,50.0,107.0,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8820,"Snedeker, Brandt"
upcoming_pga,Zurich Classic of New Orleans,TPC Louisiana,18,2026-04-23,2026-04-26,2026-04-18 07:10:30 UTC,1,-18000,25442,55789,"Montgomery, Taylor",0,0,USA,193.0,174.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7899,"Piercy, Scott"
upcoming_pga,Zurich Classic of New Orleans,TPC Louisiana,18,2026-04-23,2026-04-26,2026-04-18 07:10:30 UTC,1,-18000,21944,49947,"Moore, Taylor",0,0,USA,140.0,147.0,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23604,"Clark, Wyndham"
upcoming_pga,Zurich Classic of New Orleans,TPC Louisiana,18,2026-04-23,2026-04-26,2026-04-18 07:10:30 UTC,1,-18000,29770,63121,"Mouw, William",0,0,USA,127.0,122.0,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19729,"Kanaya, Takumi"
upcoming_pga,Zurich Classic of New Orleans,TPC Louisiana,18,2026-04-23,2026-04-26,2026-04-18 07:10:30 UTC,1,-18000,18761,46601,"Mullinax, Trey",0,0,USA,343.0,405.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10873,"Skinns, David"
upcoming_pga,Zurich Classic of New Orleans,TPC Louisiana,18,2026-04-23,2026-04-26,2026-04-18 07:10:30 UTC,1,-18000,21074,49228,"Nakajima, Keita",0,0,JPN,214.0,126.0,181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20954,"Hirata, Kensei"
upcoming_pga,Zurich Classic of New Orleans,TPC Louisiana,18,2026-04-23,2026-04-26,2026-04-18 07:10:30 UTC,1,-18000,23841,52689,"Neergaard-Petersen, Rasmus",0,0,DEN,121.0,70.0,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25611,"Olesen, Jacob Skov"
