dg_id,player_name,n_rounds,skill_dist,skill_acc,skill_app,skill_arg,skill_putt
10185,"Every, Matt",150,288.56898196681504,0.5530103012586645,-0.6925867575127689,-0.5023383094805466,-0.29055043146463894
10252,"DeLaet, Graham",78,289.6159804088264,0.6111823430863844,0.3664968782015684,-0.40809002730354843,-0.14460485978164478
10292,"Wheatcroft, Steve",79,283.91888166971137,0.6923196945005461,-0.32184606576274255,-0.1878006181877739,0.0798272114072335
10419,"Noren, Alex",150,288.92595326643107,0.6423243016752012,0.15145418369650931,0.37359969129374926,0.40763670645801464
10423,"Brehm, Ryan",150,300.203041323664,0.5477311757026159,-0.5446395464307238,-0.43462617698193495,-0.20906727518835386
10486,"Claxton, Will",23,277.6205045319296,0.6032768414212921,-1.0781677951661053,-0.8146411784634974,-0.28827396898919666
10535,"Flores, Martin",126,290.183424781948,0.5611202909612436,-0.11267040195338242,-0.12039468854443097,-0.14452487035762765
10622,"Mueller, Jesse",30,292.1839172447419,0.5616867258214846,-1.0999254448976519,0.027287530192870675,-0.657040895939402
10873,"Skinns, David",150,294.306556646309,0.5772482841257393,0.30751857736348764,-0.0737114786773509,-0.10657059163470586
10877,"Goya, Tano",54,292.7709098410914,0.599628828884208,-0.37731259056628336,0.2531236281997675,-0.12150221552159865
10886,"Harding, Justin",40,286.5014606583477,0.6300786007306265,-0.17519963235787814,-0.23243617125463042,0.29349729631825644
10943,"Lashley, Nate",150,289.9224699264528,0.6074957130442105,0.2296190284909943,0.06352278655512406,-0.0056066570304553615
11019,"Steele, Brendan",150,298.3985412455615,0.6146912906571077,0.46185170649948043,-0.14691678404161537,-0.4463285730655058
11046,"Hurley III, Billy",150,277.2115107996907,0.6101572181251971,0.06120235639315281,0.1873302266670841,0.165979029555307
11048,"Saunders, Sam",150,292.7502918914698,0.568785009852568,-0.0982789147758453,-0.3159829383427669,-0.07646934706565627
11049,"Simpson, Webb",150,291.5985441029673,0.5885242991617923,-0.0368560234791937,0.35290404542046544,-0.1482253699389421
11082,"Burgoon, Bronson",150,291.247738751508,0.5338753037036935,-0.09158042741555383,-0.12335157625468224,-0.10998776715151654
11117,"Noh, S.Y.",150,292.78561076099055,0.5571366970931387,-0.010845241552776969,0.16584857616295415,0.328503381510536
11276,"Horschel, Billy",150,292.53445714266246,0.6149885618439931,0.11131385977810035,0.07721430802827742,0.3798916422845678
11328,"Kisner, Kevin",150,280.0837367059935,0.631098485038577,-0.6362302064026335,0.020755760366497438,0.21428687135264882
11329,"Reifers, Kyle",86,281.66365406629194,0.6692464323995708,-0.4945817710551132,0.15909065073678857,-0.017246577029866365
11330,"Brown, Scott",150,285.11402424867083,0.6268550172829541,-0.18979062529396806,-0.16344330204932017,-0.05292914433899017
11354,"Stegmaier, Brett",104,289.04723565778295,0.614370473355209,0.026375889168798156,-0.39262186800908594,-0.03146489700066375
11357,"Uihlein, Peter",150,296.8166041519499,0.46234598792028764,-0.11146611312132484,0.12822433815547613,0.16762481358261677
11374,"Hahn, James",150,291.0307520157908,0.5908939525383287,-0.3982251084211005,-0.13336326530566592,0.01112439788746597
11382,"Lovemark, Jamie",150,289.50961065370973,0.48992048589350007,-0.4106911153160648,0.29705582980611267,-0.19064400018445365
11441,"Covello, Vince",38,292.62944209887985,0.5654659456186412,-0.34648608647016976,-0.39382616665914244,-1.142858560163477
11451,"Garnett, Brice",150,284.9408658026634,0.6906378746893826,-0.14710066471860583,0.0738338677228676,-0.007376266012909492
11460,"Manassero, Matteo",55,280.65006115444953,0.5918964672119255,0.37673611251134076,0.5688073544375596,-0.1065295919505489
11619,"Bjerregaard, Lucas",54,295.95294017099656,0.539172116320072,-0.46549597207625554,-0.2039066573597616,-0.38567384674528077
11640,"Gonzales, Andres",53,289.10097133983356,0.5385312216210277,-0.2606468372843756,0.13613234831780308,-0.22473572369887984
11657,"Norlander, Henrik",150,284.5431249163363,0.618650394103488,0.5588593079474922,-0.13314050086696594,-0.27742241046299787
11676,"Finau, Tony",150,293.363387875421,0.5547509385313504,0.17692458606612838,0.21153583002406295,-0.21001008561618495
11677,"Aldridge, Tyler",22,279.73005636656507,0.5721577754678563,-0.4434023726313451,-0.16419014187639314,-0.9229835829554767
11702,"Kim, Whee",150,275.8014727726535,0.6190383570845558,-0.13478574544325164,-0.05868956284010324,0.3277895321819253
11826,"Lee, Danny",150,289.21720928451117,0.5980943145478597,0.15192664649379148,-0.33979332765354703,-0.2172257541917551
11889,"Fox, Ryan",150,300.17147855138785,0.49871486189562453,0.14942350338640192,-0.06257217871068621,0.14025052602965798
11911,"Etulain, Julian",93,284.44682086809473,0.5593347340019477,-0.33997285133591143,0.102423701036921,-0.03855454580409991
11952,"Grace, Branden",150,291.2809363661059,0.5842915588889575,-0.059963184857728904,0.16481247700598284,-0.19045312535202896
11955,"Frittelli, Dylan",150,294.41221339719175,0.46387501931614444,-0.294006460421501,0.0030144162430514113,0.04996422825917739
11983,"Thompson, Chris",36,289.23450100422514,0.5655940798743071,-0.4116032228913311,-0.04652262449751251,-0.4605947190380175
12069,"Stanley, Kyle",150,285.332867822178,0.63586201753701,0.18462105796025835,-0.22618743361547827,-1.0159212783363758
