dg_id,target_season,player_name_latest,total_rounds_hist,raw_sg,wgh_sg,dec_raw_sg,dec_wgh_sg,avg_round_score
22535,2024,"Norrman, Vincent",113,0.6392566371681416,0.5492724446576707,0.6739722793341114,0.5782031518964615,69.92660550458716
16283,2024,"Rodgers, Patrick",179,0.6021284916201117,0.5621026212776957,0.6109169883455962,0.5723370577697526,70.12290502793296
11276,2024,"Horschel, Billy",164,0.6337804878048781,0.6497182436504714,0.5766118566509664,0.5703047995613814,70.2375
12577,2024,"Woodland, Gary",142,0.5610985915492958,0.5772437318837967,0.5504253095418079,0.5701584063984959,70.74647887323944
5994,2024,"Stenson, Henrik",105,0.5094095238095238,0.5529009152242058,0.5270529985995394,0.5669182563595837,70.28571428571429
12669,2024,"Lahiri, Anirban",107,0.49477570093457945,0.5052883254316473,0.5305536842542922,0.55231480715805,69.98130841121495
14784,2024,"Law, David",183,0.5529289617486339,0.565378102023613,0.5643669533317891,0.5511630152367765,70.76502732240438
16475,2024,"Forrest, Grant",188,0.5232872340425532,0.5152378107686542,0.5630445976797848,0.5493352296740578,70.72340425531915
16333,2024,"Hubbard, Mark",183,0.6613825136612022,0.545291502121188,0.664167515077633,0.5484664856147177,69.75690607734806
9842,2024,"Zanotti, Fabrizio",148,0.5580743243243244,0.6252801122111994,0.5129066536883666,0.5483930493164411,70.38513513513513
17365,2024,"Mitchell, Keith",166,0.624933734939759,0.6324820288135333,0.5414117127438548,0.5478400127793482,70.00617283950618
20770,2024,"Munoz, Sebastian",127,0.5474409448818898,0.5662476580015388,0.5298598046294423,0.5473507767860624,69.85826771653544
14792,2024,"Saddier, Adrien",103,0.608621359223301,0.5326483330284942,0.6304942353873819,0.5453324969112083,70.7864077669903
22259,2024,"Del Rey, Alejandro",109,0.5311284403669725,0.4910610423330538,0.5676923113480229,0.54474056488074,70.80733944954129
20766,2024,"Brown, Daniel",113,0.7846283185840708,0.5477939785702125,0.755184973743078,0.5408194778730563,70.40707964601769
15676,2024,"Moller, Niklas Norgaard",191,0.631717277486911,0.5710031560492237,0.6154229635886184,0.5367442140878602,70.58638743455498
12734,2024,"Scrivener, Jason",146,0.5575479452054795,0.5410550435388917,0.559278896140451,0.5356049352847019,70.62328767123287
11763,2024,"Wu, Ashun",165,0.5074727272727273,0.6235826529147704,0.4276872461936401,0.5309491489297689,70.80606060606061
10201,2024,"Guerrier, Julien",161,0.5953540372670808,0.5374197891756195,0.6039646860974333,0.5160379139012957,70.7080745341615
13374,2024,"Van Driel, Darius",174,0.29067241379310343,0.4080302605792602,0.37246474592685286,0.5111463431354005,70.82758620689656
12317,2024,"Kieffer, Maximilian",155,0.5664645161290323,0.5523381594745136,0.5447276785504522,0.5068991268256778,70.85161290322581
25131,2024,"Hill, Calum",94,0.585968085106383,0.48893336438331103,0.5933859400097654,0.5029322301556702,70.61702127659575
